           IM.1  p(Demolition)    p(Collapse)
           0.01    4.84705e-21     1.2464e-23
       0.025101     7.7936e-14    6.58371e-16
       0.040202    8.78851e-11    1.36592e-12
       0.055303     5.8442e-09    1.37425e-10
       0.070404    1.03752e-07    3.34209e-09
      0.0855051    8.70761e-07    3.61789e-08
       0.100606    4.54188e-06    2.33766e-07
       0.115707    1.71146e-05    1.06004e-06
       0.130808    5.10234e-05    3.72117e-06
       0.145909    0.000127629    1.07759e-05
        0.16101    0.000278771    2.68813e-05
       0.176111    0.000546927     5.9568e-05
       0.191212    0.000983921    0.000119926
       0.206313     0.00164842    0.000223102
       0.221414     0.00260266    0.000388538
       0.236515     0.00390883    0.000639933
       0.251616     0.00562559     0.00100493
       0.266717     0.00780494     0.00151459
       0.281818      0.0104898     0.00220262
       0.296919      0.0137123     0.00310459
        0.31202      0.0174925       0.004257
       0.327121      0.0218384     0.00569635
       0.342222      0.0267459     0.00745831
       0.357323      0.0321995     0.00957691
       0.372424      0.0381735      0.0120838
       0.387525      0.0446331      0.0150078
       0.402626      0.0515361      0.0183742
       0.417727      0.0588341      0.0222046
       0.432828      0.0664741      0.0265166
       0.447929         0.0744      0.0313238
        0.46303       0.082554      0.0366357
       0.478131      0.0908774      0.0424575
       0.493232      0.0993121      0.0487906
       0.508333       0.107801      0.0556328
       0.523434       0.116291       0.062978
       0.538535       0.124728      0.0708173
       0.553636       0.133064      0.0791384
       0.568737       0.141255      0.0879266
       0.583838       0.149259      0.0971646
       0.598939       0.157038       0.106833
        0.61404       0.164559       0.116912
       0.629141       0.171794       0.127378
       0.644242       0.178716       0.138208
       0.659343       0.185305       0.149376
       0.674444       0.191543        0.16086
       0.689545       0.197416       0.172631
       0.704646       0.202913       0.184666
       0.719747       0.208026       0.196938
       0.734848        0.21275       0.209421
       0.749949       0.217084       0.222091
       0.765051       0.221027       0.234922
       0.780152       0.224583        0.24789
       0.795253       0.227754       0.260971
       0.810354       0.230548       0.274142
       0.825455       0.232971       0.287382
       0.840556       0.235033       0.300669
       0.855657       0.236744       0.313983
       0.870758       0.238114       0.327304
       0.885859       0.239155       0.340615
        0.90096       0.239879       0.353896
       0.916061       0.240299       0.367133
       0.931162       0.240429       0.380309
       0.946263       0.240282       0.393411
       0.961364       0.239871       0.406424
       0.976465        0.23921       0.419336
       0.991566       0.238312       0.432136
        1.00667       0.237192       0.444812
        1.02177       0.235862       0.457354
        1.03687       0.234336       0.469755
        1.05197       0.232627       0.482005
        1.06707       0.230747       0.494097
        1.08217       0.228708       0.506025
        1.09727       0.226524       0.517782
        1.11237       0.224204       0.529363
        1.12747       0.221761       0.540764
        1.14258       0.219205       0.551981
        1.15768       0.216546       0.563009
        1.17278       0.213795       0.573847
        1.18788       0.210961       0.584492
        1.20298       0.208052       0.594942
        1.21808       0.205079       0.605196
        1.23318       0.202048       0.615252
        1.24828       0.198968        0.62511
        1.26338       0.195846       0.634771
        1.27848       0.192689       0.644233
        1.29359       0.189504       0.653497
        1.30869       0.186297       0.662565
        1.32379       0.183073       0.671437
        1.33889       0.179839       0.680114
        1.35399       0.176599       0.688598
        1.36909       0.173358       0.696891
        1.38419       0.170121       0.704994
        1.39929       0.166892        0.71291
        1.41439       0.163674        0.72064
        1.42949       0.160472       0.728187
         1.4446       0.157289       0.735554
         1.4597       0.154127       0.742743
         1.4748        0.15099       0.749756
         1.4899       0.147879       0.756597
          1.505       0.144799       0.763268
         1.5201        0.14175       0.769772
         1.5352       0.138734       0.776112
         1.5503       0.135754       0.782291
         1.5654       0.132811       0.788312
        1.58051       0.129906       0.794179
        1.59561       0.127041       0.799893
        1.61071       0.124216       0.805458
        1.62581       0.121433       0.810878
        1.64091       0.118693       0.816154
        1.65601       0.115995       0.821291
        1.67111       0.113342       0.826291
        1.68621       0.110732       0.831158
        1.70131       0.108167       0.835894
        1.71641       0.105648       0.840502
        1.73152       0.103173       0.844985
        1.74662       0.100743       0.849347
        1.76172      0.0983587       0.853589
        1.77682      0.0960196       0.857716
        1.79192      0.0937255       0.861729
        1.80702      0.0914764       0.865631
        1.82212      0.0892721       0.869426
        1.83722      0.0871122       0.873115
        1.85232      0.0849965       0.876702
        1.86742      0.0829246       0.880189
        1.88253      0.0808962       0.883579
        1.89763      0.0789108       0.886874
        1.91273      0.0769679       0.890076
        1.92783      0.0750672       0.893189
        1.94293      0.0732079       0.896213
        1.95803      0.0713898       0.899153
        1.97313      0.0696121       0.902009
        1.98823      0.0678743       0.904785
        2.00333      0.0661758       0.907482
        2.01843      0.0645161       0.910102
        2.03354      0.0628945       0.912648
        2.04864      0.0613104       0.915121
        2.06374      0.0597632       0.917524
        2.07884      0.0582523       0.919859
        2.09394      0.0567769       0.922127
        2.10904      0.0553365        0.92433
        2.12414      0.0539304        0.92647
        2.13924       0.052558       0.928548
        2.15434      0.0512186       0.930567
        2.16944      0.0499117       0.932529
        2.18455      0.0486364       0.934434
        2.19965      0.0473923       0.936284
        2.21475      0.0461787       0.938081
        2.22985      0.0449949       0.939827
        2.24495      0.0438403       0.941523
        2.26005      0.0427144       0.943169
        2.27515      0.0416164       0.944769
        2.29025      0.0405458       0.946322
        2.30535       0.039502       0.947831
        2.32045      0.0384843       0.949296
        2.33556      0.0374923       0.950719
        2.35066      0.0365253       0.952102
        2.36576      0.0355828       0.953444
        2.38086      0.0346642       0.954748
        2.39596      0.0337689       0.956014
        2.41106      0.0328964       0.957244
        2.42616      0.0320462       0.958439
        2.44126      0.0312177       0.959599
        2.45636      0.0304105       0.960726
        2.47146      0.0296239        0.96182
        2.48657      0.0288576       0.962883
        2.50167      0.0281111       0.963916
        2.51677      0.0273838       0.964919
        2.53187      0.0266753       0.965893
        2.54697      0.0259851       0.966839
        2.56207      0.0253128       0.967758
        2.57717      0.0246579       0.968651
        2.59227        0.02402       0.969518
        2.60737      0.0233987        0.97036
        2.62247      0.0227936       0.971178
        2.63758      0.0222043       0.971973
        2.65268      0.0216303       0.972745
        2.66778      0.0210712       0.973495
        2.68288      0.0205268       0.974224
        2.69798      0.0199966       0.974931
        2.71308      0.0194803       0.975619
        2.72818      0.0189775       0.976287
        2.74328      0.0184878       0.976936
        2.75838      0.0180109       0.977567
        2.77348      0.0175466       0.978179
        2.78859      0.0170944       0.978774
        2.80369      0.0166541       0.979353
        2.81879      0.0162253       0.979915
        2.83389      0.0158078       0.980461
        2.84899      0.0154013       0.980991
        2.86409      0.0150054       0.981507
        2.87919      0.0146199       0.982008
        2.89429      0.0142445       0.982495
        2.90939       0.013879       0.982968
        2.92449      0.0135231       0.983427
         2.9396      0.0131765       0.983874
         2.9547      0.0128391       0.984308
         2.9698      0.0125105        0.98473
         2.9849      0.0121905       0.985141
            3.0      0.0118789       0.985539
