            EDP         mean_x        sd_ln_x
          0.001    7.96744e-21        7.47142
         0.0015    4.87063e-16        6.69338
          0.002    5.66336e-13        6.14352
         0.0025    8.75755e-11        5.71855
          0.003    4.06635e-09         5.3725
         0.0035    8.57196e-08        5.08089
          0.004    1.03933e-06         4.8291
         0.0045    8.39625e-06        4.60771
          0.005    4.98027e-05        4.41029
         0.0055    0.000231975        4.23227
          0.006    0.000890445        4.07026
         0.0065     0.00291912         3.9217
          0.007     0.00839731        3.78459
         0.0075      0.0216462        3.65734
          0.008      0.0508352         3.5387
         0.0085       0.110216        3.42762
          0.009       0.222998        3.32323
         0.0095        0.42479        3.22481
           0.01       0.767461        3.13176
         0.0105         1.3232        3.04355
          0.011         2.1885        2.95974
         0.0115        3.48776        2.87993
          0.012        5.37634        2.80379
         0.0125        8.04261        2.73102
          0.013         11.709        2.66137
         0.0135        16.6321        2.59459
          0.014        23.1009        2.53049
         0.0145        31.4347        2.46887
          0.015        41.9794        2.40958
         0.0155        55.1025        2.35246
          0.016        71.1884        2.29737
         0.0165        90.6319         2.2442
          0.017        113.832        2.19283
         0.0175        141.186        2.14317
          0.018        173.081        2.09511
         0.0185        209.891        2.04858
          0.019        251.967        2.00348
         0.0195        299.637        1.95976
           0.02        353.196        1.91735
         0.0205        412.904        1.87617
          0.021        478.982        1.83619
         0.0215        551.614        1.79733
          0.022        630.937        1.75956
         0.0225        717.048        1.72282
          0.023        809.997        1.68707
         0.0235        909.795        1.65228
          0.024         1016.4         1.6184
         0.0245        1129.75         1.5854
          0.025        1249.72        1.55324
         0.0255        1376.16         1.5219
          0.026        1508.89        1.49135
         0.0265        1647.68        1.46155
          0.027        1792.29        1.43248
         0.0275        1942.45        1.40411
          0.028        2097.87        1.37643
         0.0285        2258.22        1.34941
          0.029        2423.19        1.32303
         0.0295        2592.42        1.29727
           0.03        2765.57         1.2721
         0.0305        2942.28        1.24752
          0.031        3122.18         1.2235
         0.0315        3304.91        1.20003
          0.032         3490.1         1.1771
         0.0325        3677.39        1.15468
          0.033        3866.43        1.13277
         0.0335        4056.86        1.11134
          0.034        4248.34         1.0904
         0.0345        4440.54        1.06991
          0.035        4633.14        1.04988
         0.0355        4825.82         1.0303
          0.036        5018.28        1.01114
         0.0365        5210.25       0.992403
          0.037        5401.45       0.974076
         0.0375        5591.62       0.956149
          0.038        5780.53       0.938614
         0.0385        5967.94       0.921461
          0.039        6153.64       0.904681
         0.0395        6337.44       0.888266
           0.04        6519.15       0.872208
         0.0405         6698.6         0.8565
          0.041        6875.65       0.841133
         0.0415        7050.14       0.826102
          0.042        7221.95       0.811398
         0.0425        7390.97       0.797014
          0.043         7557.1       0.782945
         0.0435        7720.25       0.769184
          0.044        7880.34       0.755725
         0.0445         8037.3       0.742562
          0.045        8191.08       0.729689
         0.0455        8341.64         0.7171
          0.046        8488.93        0.70479
         0.0465        8632.93       0.692753
          0.047        8773.62       0.680986
         0.0475         8911.0       0.669481
