           IM.1         mean_x        sd_ln_x
           0.01    0.000476418        4.31128
       0.025101      0.0159933        3.88246
       0.040202      0.0833863        3.66363
       0.055303       0.243242        3.51448
       0.070404       0.536024        3.40022
      0.0855051        1.00313        3.30678
       0.100606         1.6719        3.22861
       0.115707        2.06942        3.19541
       0.130808        2.51579         3.1647
       0.145909        3.01169        3.13614
        0.16101        3.55763        3.10947
       0.176111        4.15403        3.08445
       0.191212        4.80172        3.06087
       0.206313        5.68462        3.03317
       0.221414        6.97722        2.99921
       0.236515        8.48397        2.96643
       0.251616        10.2295        2.93473
       0.266717        12.2418        2.90397
       0.281818        14.5508        2.87406
       0.296919        17.1953        2.84486
        0.31202        17.9836        2.83698
       0.327121        18.2541        2.83434
       0.342222        18.5411        2.83159
       0.357323        18.8459        2.82871
       0.372424        19.1704        2.82569
       0.387525         19.516        2.82253
       0.402626        19.9898        2.81827
       0.417727        20.9894         2.8096
       0.432828        22.0163        2.80109
       0.447929        23.0655        2.79277
        0.46303        24.1475        2.78455
       0.478131        25.2574        2.77647
       0.493232        26.3952        2.76852
       0.508333        27.1642        2.76333
       0.523434        27.6104        2.76038
       0.538535        28.0597        2.75745
       0.553636        28.5121        2.75455
       0.568737        28.9677        2.75167
       0.583838        29.4264        2.74882
       0.598939        29.8881        2.74598
        0.61404        30.3058        2.74346
       0.629141         30.724        2.74096
       0.644242        31.1466        2.73846
       0.659343        31.5735        2.73598
       0.674444        32.0047         2.7335
       0.689545        32.4403        2.73102
       0.704646        32.7154        2.72948
       0.719747        32.6211        2.73001
       0.734848        32.5275        2.73053
       0.749949        32.4343        2.73106
       0.765051        32.3416        2.73158
       0.780152        32.2494         2.7321
       0.795253        32.1577        2.73262
       0.810354        33.0411        2.72766
       0.825455        34.3941         2.7203
       0.840556        35.7767        2.71304
       0.855657        37.1843        2.70592
       0.870758        38.6233        2.69889
       0.885859         40.093        2.69197
        0.90096        41.3639        2.68616
       0.916061        39.2847        2.69575
       0.931162        37.2654        2.70552
       0.946263        35.3025         2.7155
       0.961364         33.398        2.72569
       0.976465        31.5564        2.73608
       0.991566        29.7713         2.7467
