           IM.1  EDP.01.mean_x  EDP.02.mean_x  EDP.03.mean_x  EDP.04.mean_x  EDP.05.mean_x  EDP.06.mean_x  EDP.07.mean_x  EDP.08.mean_x  EDP.09.mean_x  EDP.10.mean_x  EDP.11.mean_x  EDP.12.mean_x  EDP.13.mean_x  EDP.14.mean_x  EDP.15.mean_x  EDP.16.mean_x  EDP.17.mean_x  EDP.18.mean_x  EDP.19.mean_x  EDP.20.mean_x  EDP.21.mean_x
           0.01     0.00149208    1.25031e-11     0.00182412    3.96085e-07     0.00209157    3.66994e-06     0.00267205    5.47699e-06     0.00296146    3.15894e-06     0.00257534    9.47066e-07     0.00289638    1.52097e-07      0.0100397    1.35417e-08     0.00358811    3.97925e-10      0.0103867    1.52145e-12    0.000839014
       0.025101        1.25505    5.21924e-06        1.26883      0.0120571        1.37731       0.061423        1.62224      0.0832524        1.71856      0.0563968        1.51015      0.0234654        1.62892     0.00607374         6.1083     0.00100465        1.91567    7.22816e-05         5.7789    1.04649e-06       0.038243
       0.040202        18.2428     0.00117638        18.3321        0.76386        19.2548        3.17747        21.2817        4.24233        21.8232        3.03872         19.313        1.40685        20.1348       0.433418        74.7664      0.0942244        22.9286      0.0105894        67.8151    0.000309094       0.222148
       0.055303        86.9727      0.0298966         86.762        9.86664        94.0903        38.8786        94.0007        52.1957        94.0405        38.5574        85.6572        18.4725        84.5325        5.92948        310.707        1.42019        94.4087       0.204031        277.229     0.00944234         2.2462
       0.070404        301.303       0.286547          260.0        64.0608        338.718        232.671        263.369        310.392        256.643        237.574        257.575          120.1        222.941        40.3807        805.863        10.0651        245.919        1.64138        733.603       0.102204        23.2638
      0.0855051        1139.78        1.67046         650.69        265.644        1153.02        916.306        606.101        1245.69        569.248        969.957        688.736        499.201         466.34        176.442         1631.8         47.042        511.454        8.46226        1595.42       0.635878        134.781
       0.100606        3573.71        7.19841        1488.78        826.862        3450.82        2840.79        1274.07        3815.41         1144.0        3056.17        1721.68        1617.69        860.547        566.531        2837.93        158.809        939.832        31.8662        3126.54        2.78062        488.906
       0.115707        6144.04        16.7911        2401.95        1694.05        6394.03        5750.09        2085.82        7767.96        1790.17        6469.08        2819.23        3448.24        1166.73        1089.61        3557.33        275.247        1209.94        51.7994         4185.1        4.62418         789.88
       0.130808        9558.41        35.7071        3625.84        3162.21        10705.5        10023.2        3216.38        13413.6         2679.5        11484.6        4394.78        6356.82        1545.18         1937.8         4370.4        449.279        1529.82        80.5156        5497.48        7.36835        1205.97
       0.145909        13757.1        70.0558        5184.92        5381.95        16557.0        15515.8        4715.14        20390.2         3858.7        17882.9        6551.39        10387.9        2006.57        3219.95         5284.9        699.893        1904.85        120.371        7097.35        11.3119        1758.19
        0.16101        18647.4        128.303        7098.01        8392.36        24033.9        21943.1        6621.78        28314.4        5367.15        25299.9        9381.39        15411.0        2561.58        5024.66        6299.95         1051.1        2340.42        174.074        9019.85        16.8587        2466.83
       0.176111        24105.3        221.795        9372.65        12119.1        33156.4        29011.5        8962.82        36852.7        7236.57        33398.6        12965.7        21209.3        3220.53        7394.57        7420.47        1531.97        2841.89        244.432        11298.1        24.3166        3351.26
       0.191212        29982.7        365.571        12007.9        16432.2        43879.1        36509.3        11749.0        45799.7        9478.87        41949.0        17361.2        27564.7        3992.59        10322.2        8648.68        2175.46        3414.05        334.651        13960.5        34.2729        4429.27
       0.206313        36166.4        638.078        16866.5        27188.7        59620.2        51551.9        15465.2        63947.6        12255.6        59762.9        23333.7        40984.7        5085.11        16191.3        10294.6        3238.23        4276.68        454.752        17515.4         47.672        5700.27
       0.221414        42534.8        1222.07        25775.8        49524.7        83142.7        78868.7        20499.0        96378.8        15603.6        92114.3        31626.7        66209.3        6713.69        26831.2        12596.7        5096.87        5693.72        626.487        22578.3        66.3121        7171.48
