           IM.1  repair.mean_x    demo.mean_x    coll.mean_x
           0.01      0.0413803    6.78587e-14    1.74495e-16
       0.025101        24.4659     1.0911e-06     9.2172e-09
       0.040202        317.284     0.00123039    1.91229e-05
       0.055303        1476.21      0.0818188     0.00192395
       0.070404        4726.47        1.45252      0.0467893
      0.0855051        13278.4        12.1907       0.506505
       0.100606        33830.7        63.5863        3.27272
       0.115707        59110.6        239.604        14.8405
       0.130808        95275.1        714.328        52.0964
       0.145909    1.42337e+05        1786.81        150.862
        0.16101    1.99533e+05         3902.8        376.338
       0.176111    2.65779e+05        7656.98        833.952
       0.191212    3.40015e+05        13774.9        1678.97
       0.206313    4.69705e+05        23077.9        3123.43
       0.221414    6.88809e+05        36437.3        5439.53
       0.236515    9.20401e+05        54723.7        8959.06
       0.251616    1.14762e+06        78758.2        14069.1
       0.266717    1.36397e+06    1.09269e+05        21204.2
       0.281818    1.56926e+06    1.46857e+05        30836.7
       0.296919    1.76194e+06    1.91972e+05        43464.3
        0.31202    1.90774e+06    2.44895e+05        59598.0
       0.327121    2.03583e+06    3.05737e+05        79748.9
       0.342222    2.15782e+06    3.74442e+05    1.04416e+05
       0.357323    2.27306e+06    4.50793e+05    1.34077e+05
       0.372424    2.38124e+06    5.34428e+05    1.69174e+05
       0.387525    2.48241e+06    6.24864e+05    2.10109e+05
       0.402626    2.57839e+06    7.21506e+05    2.57238e+05
       0.417727    2.67048e+06    8.23677e+05    3.10864e+05
       0.432828    2.75665e+06    9.30637e+05    3.71232e+05
       0.447929    2.83499e+06     1.0416e+06    4.38534e+05
        0.46303    2.90512e+06    1.15576e+06    5.12899e+05
       0.478131     2.9678e+06    1.27228e+06    5.94404e+05
       0.493232    3.02155e+06    1.39037e+06    6.83068e+05
       0.508333    3.02341e+06    1.50922e+06    7.78859e+05
       0.523434    2.98734e+06    1.62807e+06    8.81692e+05
       0.538535    2.94488e+06    1.74619e+06    9.91442e+05
       0.553636    2.90152e+06     1.8629e+06    1.10794e+06
       0.568737     2.8564e+06    1.97757e+06    1.23097e+06
       0.583838     2.7984e+06    2.08962e+06     1.3603e+06
       0.598939    2.76079e+06    2.19853e+06    1.49567e+06
        0.61404    2.74476e+06    2.30383e+06    1.63677e+06
       0.629141    2.72752e+06    2.40511e+06    1.78329e+06
       0.644242    2.70655e+06    2.50203e+06    1.93491e+06
       0.659343    2.68223e+06    2.59427e+06    2.09127e+06
       0.674444    2.65475e+06     2.6816e+06    2.25204e+06
       0.689545     2.6245e+06    2.76382e+06    2.41684e+06
       0.704646    2.58502e+06    2.84078e+06    2.58533e+06
       0.719747    2.52897e+06    2.91236e+06    2.75713e+06
       0.734848    2.47203e+06     2.9785e+06     2.9319e+06
       0.749949    2.41442e+06    3.03918e+06    3.10927e+06
       0.765051    2.35623e+06    3.09438e+06     3.2889e+06
       0.780152    2.29769e+06    3.14416e+06    3.47045e+06
       0.795253    2.23901e+06    3.18856e+06    3.65359e+06
       0.810354    2.19303e+06    3.22767e+06    3.83799e+06
       0.825455    2.15165e+06     3.2616e+06    4.02335e+06
       0.840556    2.10836e+06    3.29047e+06    4.20937e+06
       0.855657    2.06387e+06    3.31441e+06    4.39577e+06
       0.870758    2.01823e+06    3.33359e+06    4.58226e+06
       0.885859    1.97207e+06    3.34816e+06    4.76861e+06
        0.90096    1.92366e+06    3.35831e+06    4.95455e+06
