           IM.1     FRAG.002.mean_x     FRAG.003.mean_x     FRAG.105.mean_x     FRAG.106.mean_x     FRAG.107.mean_x     FRAG.108.mean_x     FRAG.203.mean_x     FRAG.204.mean_x     FRAG.205.mean_x     FRAG.208.mean_x     FRAG.209.mean_x     FRAG.211.mean_x     FRAG.214.mean_x
           0.01         7.81208e-11         2.81909e-08         2.80965e-52         3.01689e-60          9.0163e-44         1.37868e-05         1.23173e-12         6.61081e-24         4.94884e-13         1.09258e-07          1.6116e-09          0.00461556           0.0235754
       0.025101          0.00101132          0.00478965         5.74675e-23          3.2042e-23         5.75625e-28            0.237951         3.84898e-05         9.73861e-10         1.63062e-06          0.00392851          0.00113604            0.168162             16.0083
       0.040202            0.685216             1.85378         2.33686e-09         1.30518e-09         2.66085e-20               10.63           0.0469798         0.000670882          0.00115095            0.408288            0.381824             0.88377              205.83
       0.055303             26.6515             50.3289          0.00469888          0.00262438         3.54907e-15              88.576             3.28516            0.867239           0.0659329             7.50491             13.4599             2.61806             887.334
       0.070404             273.624             387.093             6.27289             3.50278         2.17312e-11             346.781             58.2395             51.3259             1.14545             59.9555             158.735             5.89332             2363.21
      0.0855051             1327.26             1480.71             271.451              151.33          1.7386e-08             900.298             446.441              573.19             9.89239              289.58             963.321             11.3197              4850.8
       0.100606             4025.63             3703.91             2174.83             1202.54         2.89516e-06              1817.2             1932.78              2465.4             51.9293              972.59             3657.74             19.4834              8438.6
       0.115707             7915.27             6506.24             5995.14             3263.71         2.75227e-05             2887.13             3696.96             4511.31             94.2355             1748.96             6869.23              26.247             11427.5
       0.130808             13413.9             10028.0             12552.8             6769.01          0.00017647             4187.33             6413.87             7284.33              160.35              2882.0             11653.6             34.3068             14850.0
       0.145909             20460.7             14124.2             21880.2             11529.0         0.000846505             5686.21             10285.6             10729.1             258.576              4430.0             18256.5              43.706             18663.1
        0.16101             28897.1             18675.1             33658.9             17172.2          0.00325425             7352.46             15478.8             14751.8             398.358             6439.05             26839.2             54.4813             22837.7
       0.176111             38507.5             23612.4             47496.8             23232.1           0.0105171             9159.41             22122.5             19231.5             590.202             8941.94             37498.0             66.6693             27344.6
       0.191212             49075.6             28911.5             63113.4             29305.0           0.0295694             11081.6             30302.2             24023.7             845.401             11948.2             50250.8             80.2962             32155.3
       0.206313             71081.4             40205.0             98783.0             39031.8            0.284215             14904.1             42459.3             29019.8             1177.52             16309.0             68539.8             98.7133             38266.9
       0.221414         1.09386e+05             64106.8         1.72189e+05             49337.0             6.52476             21913.2             61167.5             34103.5             1604.03             22822.3             95337.6               124.9             46288.6
       0.236515         1.46413e+05             92641.9         2.49314e+05             55317.6             57.0542             30050.4             83530.7             39178.4             2138.53             30522.6         1.26062e+05             154.895             54835.4
       0.251616         1.80464e+05          1.2226e+05         3.17456e+05             59131.7             261.522             39744.6         1.09168e+05             44168.7             2796.79             39307.6         1.60112e+05             188.885             63813.2
       0.266717         2.11217e+05         1.50664e+05          3.7289e+05             61819.9             774.059             51250.4         1.37613e+05             49014.7             3594.72             49056.2          1.9692e+05             227.237             73223.7
       0.281818         2.38859e+05         1.77707e+05         4.16629e+05             63883.1             1702.54             64459.0         1.68459e+05             53672.5             4547.17             59647.5         2.35883e+05             269.574             82935.7
       0.296919         2.63736e+05         2.00429e+05         4.51395e+05             65558.0             3055.63             79012.6         2.01256e+05             58110.9             5668.72             70959.2         2.76496e+05             316.185             92964.1
        0.31202         2.85373e+05         2.19246e+05         4.82338e+05             67936.1             4060.24             90727.4         2.24257e+05             62605.3             6250.96             79353.3         3.02402e+05               348.7         1.00444e+05
       0.327121         3.05661e+05          2.3645e+05         5.11144e+05             70281.0             4982.24         1.00272e+05         2.45081e+05             66870.0             6685.93             87126.5         3.24938e+05             377.867         1.07257e+05
       0.342222         3.24995e+05         2.52764e+05         5.37453e+05             72368.4             5965.64         1.10431e+05         2.66501e+05             70810.7             7142.55             95139.0         3.48112e+05             408.057         1.14219e+05
       0.357323         3.43411e+05         2.68256e+05         5.61726e+05             74232.4             7000.26         1.20567e+05         2.88479e+05             74444.9             7621.83         1.03373e+05         3.71871e+05             439.257          1.2119e+05
       0.372424         3.60944e+05         2.82959e+05         5.83984e+05             75906.9             8078.03         1.30665e+05          3.1098e+05             77764.6             8124.85         1.11796e+05         3.96167e+05             471.414          1.2821e+05
       0.387525         3.77632e+05         2.96937e+05         6.04468e+05             77426.3             9192.68         1.40696e+05         3.34073e+05             80784.2             8652.74         1.20406e+05         4.20921e+05             504.535         1.35272e+05
       0.402626          3.9402e+05          3.1043e+05         6.24375e+05             78920.2             10272.3         1.51536e+05         3.56648e+05             83527.1             9249.26         1.28888e+05         4.47143e+05             536.814         1.42132e+05
       0.417727         4.12145e+05         3.24523e+05         6.47682e+05             80743.0             11073.5         1.60044e+05          3.7493e+05             85957.0             10086.8          1.3613e+05         4.78412e+05             560.648         1.47899e+05
       0.432828         4.29615e+05         3.38287e+05         6.69734e+05             82331.5             11917.2         1.67566e+05         3.96289e+05             88176.1             10972.4         1.43468e+05         5.09557e+05             586.769         1.53699e+05
       0.447929         4.46387e+05         3.51693e+05         6.90582e+05             83715.3             12802.8         1.76274e+05          4.1653e+05             90210.5             11907.1         1.50961e+05         5.40557e+05             612.577         1.59536e+05
        0.46303         4.62435e+05         3.64699e+05         7.09709e+05             84924.0             13727.2         1.85111e+05         4.37013e+05             92071.2             12892.4         1.58545e+05         5.71339e+05             639.242         1.65417e+05
       0.478131         4.77771e+05           3.773e+05         7.27684e+05             86552.9             14686.2         1.93968e+05         4.57686e+05             93776.8             13927.3         1.66159e+05         6.01857e+05             666.606         1.71285e+05
       0.493232         4.92413e+05         3.89488e+05         7.44433e+05             86904.1             15675.6         2.02853e+05         4.78471e+05             95336.1             15013.2          1.7389e+05         6.32055e+05             694.673         1.77181e+05
       0.508333         4.99042e+05          3.9484e+05         7.50456e+05             87235.6             16362.0         2.07929e+05         4.92529e+05             96541.0             16052.0         1.79427e+05         6.48514e+05             716.138         1.81401e+05
       0.523434         4.99529e+05         3.94924e+05         7.51031e+05             87137.0             16781.2          2.0994e+05          5.0089e+05             97476.7             17064.6          1.8315e+05         6.53977e+05             732.042          1.8425e+05
       0.538535         4.99984e+05         3.94992e+05         7.46481e+05             87477.9             17193.4         2.11928e+05         5.09236e+05             98339.0             18119.0         1.86869e+05         6.59359e+05             748.248         1.87087e+05
       0.553636          5.0041e+05         3.95064e+05         7.44501e+05             86889.2             17598.3         2.13922e+05         5.17564e+05             99133.6             19228.5         1.90582e+05         6.64662e+05             764.762         1.89923e+05
       0.568737         5.00812e+05         3.95142e+05          7.4254e+05             86735.6             17995.7         2.15845e+05         5.25869e+05             99864.8             20388.1         1.94285e+05         6.69871e+05             781.602         1.92755e+05
       0.583838         5.01079e+05          3.9523e+05         7.40625e+05             86561.0             18384.7         2.17737e+05         5.34149e+05         1.00543e+05             21602.2         1.97977e+05         6.60498e+05             798.699         1.95583e+05
       0.598939         5.01555e+05         3.95343e+05         7.38758e+05             86365.2             18766.6         2.19622e+05         5.42392e+05         1.01169e+05             22870.6         2.01656e+05         6.80026e+05              816.14         1.98408e+05
        0.61404         5.09855e+05         4.00339e+05         7.48445e+05             87376.6             18892.6         2.21867e+05         5.56613e+05         1.02148e+05             22064.4         2.07793e+05         6.96951e+05             837.326         2.03028e+05
       0.629141         5.18311e+05         4.05487e+05          7.5857e+05             88390.9             19156.3          2.2404e+05         5.71208e+05         1.03075e+05             21136.9         2.14197e+05         7.14701e+05              859.54         2.07784e+05
       0.644242         5.26127e+05         4.10756e+05         7.68148e+05             89321.1             19096.6         2.26208e+05         5.86072e+05         1.03922e+05             20249.0         2.20506e+05         7.32343e+05             882.103         2.12541e+05
       0.659343         5.33752e+05         4.15564e+05         7.77315e+05             90173.4             19194.8         2.28287e+05          6.0082e+05         1.04696e+05             19396.0         2.26885e+05         7.49896e+05             904.931         2.17298e+05
       0.674444         5.40917e+05         4.20244e+05         7.86115e+05             90953.7             19291.6          2.3034e+05         6.15543e+05         1.05402e+05             18585.6         2.33276e+05         7.67241e+05             928.235         2.22032e+05
       0.689545         5.47774e+05         4.24818e+05         7.94589e+05             91666.6             19387.9         2.32349e+05          6.3021e+05         1.06045e+05             17804.9         2.39668e+05         7.84419e+05              951.99         2.26782e+05
       0.704646         5.54607e+05          4.2978e+05         8.02664e+05             92314.5             19674.4         2.35399e+05         6.40405e+05         1.06533e+05             17322.4         2.44427e+05         7.96058e+05             970.452         2.30381e+05
       0.719747         5.61776e+05         4.35381e+05         8.10129e+05             92898.3             20389.2         2.40801e+05          6.4081e+05         1.07013e+05             17444.7         2.45503e+05         7.95563e+05             976.626         2.31347e+05
       0.734848         5.68712e+05         4.41142e+05         8.17189e+05             93434.3             21105.5         2.46151e+05         6.41057e+05         1.07406e+05             17568.9         2.46557e+05         7.94798e+05             983.522         2.32314e+05
       0.749949         5.75266e+05         4.46748e+05         8.24051e+05             93926.1             21823.6         2.51443e+05         6.41198e+05         1.07793e+05             17701.6         2.47592e+05         7.93944e+05             991.035         2.33282e+05
       0.765051         5.81916e+05         4.52193e+05         8.30163e+05             94376.4             22543.9         2.56809e+05         6.41213e+05         1.08133e+05             17822.5          2.4852e+05         7.92959e+05             999.216         2.34267e+05
       0.780152         5.88201e+05         4.57481e+05          8.3608e+05             94787.0             23267.4         2.61955e+05         6.41123e+05         1.08449e+05             17947.5         2.49584e+05         7.91848e+05             1008.04          2.3522e+05
       0.795253         5.94282e+05         4.62618e+05         8.41629e+05             95162.3             23993.8         2.67164e+05         6.40926e+05         1.08742e+05             18079.7         2.50562e+05         7.90617e+05             1017.52         2.36195e+05
       0.810354         6.01952e+05         4.69859e+05         8.54198e+05             96029.0             24190.6         2.70497e+05          6.4557e+05         1.08967e+05             18398.1         2.52526e+05         7.98365e+05             1017.98         2.37471e+05
       0.825455          6.0978e+05          4.7769e+05          8.6883e+05             96969.0             24142.8         2.72938e+05         6.52748e+05         1.09158e+05             18817.6         2.55017e+05          8.1036e+05             1014.98         2.39329e+05
       0.840556         6.16901e+05         4.85021e+05         8.82003e+05             97748.2             24092.3         2.75232e+05          6.5968e+05         1.09331e+05             19245.4         2.57538e+05         8.22433e+05              1013.4          2.4103e+05
       0.855657         6.23351e+05         4.91862e+05          8.9386e+05             98394.9             24038.0         2.77402e+05         6.66949e+05         1.09495e+05             19706.7         2.60111e+05         8.34575e+05             1012.89         2.42778e+05
       0.870758         6.29169e+05         4.98215e+05         9.04452e+05             98928.8             23978.4         2.79455e+05         6.74324e+05         1.09648e+05             20195.8         2.62723e+05         8.46571e+05             1013.58         2.44552e+05
       0.885859         6.34383e+05         5.04873e+05         9.13758e+05             99372.9             23912.3         2.81381e+05         6.81846e+05         1.09792e+05             20714.9         2.65383e+05         8.58596e+05             1015.46         2.46363e+05
        0.90096         6.38652e+05         5.09042e+05         9.21212e+05             99722.3             23826.2         2.82951e+05         6.89218e+05          1.0994e+05             21193.8         2.68116e+05          8.7036e+05             1019.38         2.48251e+05
       0.916061         6.37284e+05         5.07727e+05         9.18849e+05             99774.7             23536.9         2.80675e+05         6.93301e+05         1.10266e+05             20628.9         2.71228e+05         8.81225e+05             1035.92          2.5079e+05
       0.931162         6.35658e+05         5.04527e+05         9.16023e+05             99800.9             23247.3         2.79288e+05         6.97379e+05         1.10549e+05             20083.6         2.74336e+05         8.91866e+05              1053.4         2.53329e+05
       0.946263         6.33756e+05         5.01919e+05         9.12616e+05             99798.6             22959.6         2.76245e+05         7.01488e+05         1.10793e+05             19559.2         2.74706e+05         9.02077e+05             1071.87         2.55864e+05
       0.961364         6.31569e+05         4.99369e+05         9.08587e+05             99761.9             22676.3         2.73917e+05         7.05578e+05         1.11002e+05             19051.5         2.80511e+05         9.11919e+05             1091.34         2.58403e+05
       0.976465         6.29069e+05          4.9593e+05          9.0386e+05             99683.7             22400.1         2.71762e+05         7.09722e+05          1.1118e+05             18568.7         2.83662e+05         9.21314e+05             1111.79         2.60941e+05
       0.991566         6.26222e+05         4.92519e+05         9.12583e+05             99559.9             22133.0         2.69437e+05         7.13913e+05         1.11331e+05             18102.7         2.86776e+05          9.3049e+05             1133.24         2.63495e+05
        1.00667         6.26186e+05         4.90925e+05         9.13463e+05         1.01051e+05             21497.4         2.65618e+05         7.12502e+05         1.11428e+05             18066.6         2.86491e+05         9.29569e+05             1128.29         2.63188e+05
        1.02177         6.30005e+05          4.9292e+05         9.10153e+05         1.00865e+05             20363.4         2.60508e+05         7.03724e+05         1.11477e+05             18578.6         2.81788e+05         9.15874e+05             1089.99         2.59228e+05
        1.03687         6.33674e+05         4.92839e+05         9.22555e+05         1.01682e+05             19205.5         2.55277e+05         6.94558e+05         1.11525e+05             19096.2         2.76682e+05         9.01665e+05             1053.07         2.55176e+05
        1.05197         6.36978e+05         4.93689e+05         9.30013e+05         1.02353e+05             18030.2         2.49958e+05         6.84996e+05         1.11568e+05             19614.1         2.71981e+05         8.86959e+05             1017.56          2.5107e+05
        1.06707         6.40147e+05         4.94386e+05         9.39191e+05         1.02879e+05             16843.2         2.44484e+05         6.74921e+05         1.11609e+05             20150.4         2.66871e+05         8.71616e+05              983.44         2.46909e+05
        1.08217         6.42528e+05         4.94765e+05         9.47177e+05          1.0328e+05             15653.9          2.3922e+05         6.64124e+05         1.11646e+05             20696.1         2.61611e+05         8.55702e+05             950.693         2.42714e+05
        1.09727         6.44066e+05         4.94612e+05         9.53092e+05         1.03577e+05             14472.8         2.33919e+05         6.53222e+05          1.1168e+05             21242.0         2.56115e+05         8.39225e+05             919.374         2.38431e+05
        1.11237         6.46586e+05         4.96824e+05         9.61874e+05         1.04553e+05             14132.8         2.32873e+05         6.54231e+05         1.11704e+05             21422.4         2.56698e+05         7.63141e+05              924.95         2.38976e+05
        1.12747         6.48913e+05         4.99363e+05         9.70484e+05         1.05605e+05             13972.5         2.32846e+05         6.57932e+05         1.11726e+05             21519.6         2.58256e+05         8.34187e+05             939.211         2.40593e+05
        1.14258         6.50879e+05         5.01735e+05         9.78074e+05         1.06557e+05             13806.8         2.33048e+05         6.61557e+05          1.1145e+05             21617.2         2.60363e+05         8.32984e+05             954.472         2.42214e+05
        1.15768         6.52517e+05         5.04012e+05         9.84928e+05           1.074e+05             13636.5          2.3292e+05         6.65193e+05         1.11766e+05             21715.1           2.622e+05         8.31795e+05             969.953         2.43859e+05
        1.17278          6.5391e+05         5.06252e+05         9.91324e+05         1.08136e+05             13460.9         2.32996e+05         6.68855e+05         1.11784e+05             21813.4         2.64039e+05         8.30588e+05             986.972         2.45511e+05
        1.18788         6.55222e+05           5.083e+05          9.9718e+05         1.08774e+05             13282.4          2.3302e+05          6.7248e+05         1.11801e+05             21911.9         2.65874e+05         8.29167e+05             1005.38         2.47157e+05
        1.20298          6.5675e+05         5.11274e+05         1.00121e+06         1.09098e+05             13334.3         2.34622e+05         6.78495e+05         1.11843e+05             22320.7         2.68409e+05         8.32317e+05              1024.7         2.49266e+05
        1.21808         6.59588e+05         5.17203e+05         9.97046e+05         1.08503e+05             14366.0         2.42221e+05         6.94265e+05         1.11836e+05             24040.7         2.73844e+05         8.53181e+05             1047.34           2.533e+05
        1.23318         6.62062e+05         5.20973e+05         9.92088e+05         1.07877e+05             15462.5          2.4982e+05         7.09546e+05         1.11853e+05             25857.0         2.79293e+05         8.73368e+05             1070.26          2.5735e+05
        1.24828         6.63316e+05         5.24962e+05         9.85873e+05         1.07205e+05             16619.7         2.57659e+05         7.25575e+05         1.11868e+05             27753.3          2.8474e+05         8.92821e+05             1094.74         2.61421e+05
        1.26338           6.742e+05         5.28448e+05         9.78748e+05         1.06492e+05             17834.3         2.64918e+05         7.41236e+05         1.11882e+05             29736.2         2.90224e+05         9.11485e+05             1119.56         2.65505e+05
        1.27848         6.65118e+05         5.31313e+05         9.70839e+05         1.05683e+05             19104.1         2.72431e+05         7.56688e+05         1.11894e+05             31801.3         2.95688e+05         9.29425e+05             1145.09         2.69738e+05
        1.29359         6.65232e+05         5.33722e+05         9.62544e+05         1.04863e+05             20426.0         2.79888e+05         7.71951e+05         1.11905e+05             33974.7         3.01147e+05         9.46642e+05             1171.42          2.7375e+05
        1.30869         6.71321e+05         5.39949e+05         9.72315e+05         1.05477e+05             21149.9         2.84952e+05         7.83427e+05         1.11909e+05             34462.4         3.05628e+05         9.57865e+05             1197.62         2.77358e+05
        1.32379         6.81059e+05         5.48601e+05         9.93368e+05          1.0686e+05             21432.3         2.88341e+05         7.89005e+05         1.11917e+05             33673.2         3.09347e+05         9.64429e+05             1224.52         2.80572e+05
        1.33889          6.8958e+05         5.56512e+05         1.01145e+06         1.07884e+05             21740.1         2.91829e+05         7.95254e+05         1.11924e+05             32906.2         3.12987e+05         9.70204e+05             1252.98         2.83769e+05
        1.35399         6.96875e+05         5.63618e+05         1.02611e+06         1.08603e+05             22069.8         2.95404e+05         8.03287e+05          1.1193e+05             32142.7         3.16599e+05         9.75169e+05             1282.85         2.86957e+05
        1.36909          7.0314e+05         5.70018e+05         1.03712e+06         1.09094e+05             22421.7         2.99112e+05         8.07118e+05         1.11934e+05             31393.6          3.2016e+05         9.79344e+05             1314.43         2.90147e+05
