              t           Rate
         0.0001       0.019132
         0.0049      0.0163983
         0.0097      0.0159195
         0.0145      0.0156273
         0.0193      0.0154183
         0.0241      0.0152557
         0.0289      0.0151217
         0.0337      0.0150144
         0.0385      0.0149159
         0.0433      0.0148282
         0.0481      0.0147495
         0.0529       0.014678
         0.0577      0.0146129
         0.0625      0.0145524
         0.0673      0.0144963
         0.0721      0.0144439
         0.0769      0.0143947
         0.0817      0.0143484
         0.0865      0.0143046
         0.0913      0.0142631
         0.0961      0.0142237
         0.1009      0.0141861
         0.1057      0.0141501
         0.1105      0.0141157
         0.1153      0.0140827
         0.1201      0.0140509
         0.1249      0.0140204
         0.1297      0.0139909
         0.1345      0.0139625
         0.1393       0.013935
         0.1441      0.0139084
         0.1489      0.0138827
         0.1537      0.0138577
         0.1585      0.0138334
         0.1633      0.0138098
         0.1681      0.0137869
         0.1729      0.0137646
         0.1777      0.0137429
         0.1825      0.0137217
         0.1873       0.013701
         0.1921      0.0136809
         0.1969      0.0136612
         0.2017      0.0136419
         0.2065      0.0136231
         0.2113      0.0136026
         0.2161      0.0135846
         0.2209       0.013567
         0.2257      0.0135498
         0.2305      0.0135329
         0.2353      0.0135163
         0.2401         0.0135
         0.2449      0.0134841
         0.2497      0.0134684
         0.2545       0.013453
         0.2593      0.0134379
         0.2641       0.013423
         0.2689      0.0134084
         0.2737      0.0133941
         0.2785      0.0133799
         0.2833       0.013366
         0.2881      0.0133524
         0.2929      0.0133389
         0.2977      0.0133256
         0.3025      0.0133126
         0.3073      0.0132997
         0.3121       0.013287
         0.3169      0.0132745
         0.3217      0.0132622
         0.3265      0.0132501
         0.3313      0.0132381
         0.3361      0.0132262
         0.3409      0.0132146
         0.3457      0.0132031
         0.3505      0.0131917
         0.3553      0.0131805
         0.3601      0.0131694
         0.3649      0.0131585
         0.3697      0.0131477
         0.3745       0.013137
         0.3793      0.0131264
         0.3841       0.013116
         0.3889      0.0131057
         0.3937      0.0130955
         0.3985      0.0130855
         0.4033      0.0130755
         0.4081      0.0130657
         0.4129      0.0130559
         0.4177      0.0130463
         0.4225      0.0130368
         0.4273      0.0130273
         0.4321       0.013018
         0.4369      0.0130088
         0.4417      0.0129996
         0.4465      0.0129906
         0.4513      0.0129816
         0.4561      0.0129728
         0.4609       0.012964
         0.4657      0.0129553
         0.4705      0.0129467
         0.4753      0.0129381
         0.4801      0.0129297
         0.4849      0.0129213
         0.4897       0.012913
         0.4945      0.0129048
         0.4993      0.0128967
         0.5041      0.0128886
         0.5089      0.0128806
         0.5137      0.0128727
         0.5185      0.0128648
         0.5233       0.012857
         0.5281      0.0128493
         0.5329      0.0128416
         0.5377       0.012834
         0.5425      0.0128265
         0.5473       0.012819
         0.5521      0.0128116
         0.5569      0.0128042
         0.5617      0.0127969
         0.5665      0.0127897
         0.5713      0.0127825
         0.5761      0.0127754
         0.5809      0.0127683
         0.5857      0.0127613
         0.5905      0.0127544
         0.5953      0.0127475
         0.6001      0.0127406
         0.6049      0.0127338
         0.6097      0.0127271
         0.6145      0.0127204
         0.6193      0.0127137
         0.6241      0.0127071
         0.6289      0.0127005
         0.6337       0.012694
         0.6385      0.0126875
         0.6433      0.0126811
         0.6481      0.0126747
         0.6529      0.0126684
         0.6577      0.0126621
         0.6625      0.0126559
         0.6673      0.0126497
         0.6721      0.0126435
         0.6769      0.0126374
         0.6817      0.0126313
         0.6865      0.0126252
         0.6913      0.0126192
         0.6961      0.0126133
         0.7009      0.0126073
         0.7057      0.0126015
         0.7105      0.0125956
         0.7153      0.0125898
         0.7201       0.012584
         0.7249      0.0125783
         0.7297      0.0125726
         0.7345      0.0125669
         0.7393      0.0125612
         0.7441      0.0125556
         0.7489      0.0125501
         0.7537      0.0125445
         0.7585       0.012539
         0.7633      0.0125335
         0.7681      0.0125281
         0.7729      0.0125227
         0.7777      0.0125173
         0.7825       0.012512
         0.7873      0.0125067
         0.7921      0.0125014
         0.7969      0.0124961
         0.8017      0.0124909
         0.8065      0.0124857
         0.8113      0.0124805
         0.8161      0.0124754
         0.8209      0.0124703
         0.8257      0.0124652
         0.8305      0.0124601
         0.8353      0.0124551
         0.8401      0.0124501
         0.8449      0.0124451
         0.8497      0.0124401
         0.8545      0.0124352
         0.8593      0.0124303
         0.8641      0.0124254
         0.8689      0.0124206
         0.8737      0.0124158
         0.8785       0.012411
         0.8833      0.0124062
         0.8881      0.0124014
         0.8929      0.0123967
         0.8977       0.012392
         0.9025      0.0123873
         0.9073      0.0123827
         0.9121       0.012378
         0.9169      0.0123734
         0.9217      0.0123688
         0.9265      0.0123643
         0.9313      0.0123597
         0.9361      0.0123552
         0.9409      0.0123507
         0.9457      0.0123462
         0.9505      0.0123418
         0.9553      0.0123373
         0.9601      0.0123329
         0.9649      0.0123284
         0.9697       0.012324
         0.9745      0.0123196
         0.9793      0.0123153
         0.9841       0.012311
         0.9889      0.0123067
         0.9937      0.0123024
         0.9985      0.0122981
         1.0033      0.0122939
         1.0081      0.0122896
         1.0129      0.0122854
         1.0177      0.0122812
         1.0225      0.0122771
         1.0273      0.0122729
         1.0321      0.0122688
         1.0369      0.0122647
         1.0417      0.0122606
         1.0465      0.0122565
         1.0513      0.0122524
         1.0561      0.0122484
         1.0609      0.0122444
         1.0657      0.0122403
         1.0705      0.0122364
         1.0753      0.0122324
         1.0801      0.0122284
         1.0849      0.0122245
         1.0897      0.0122205
         1.0945      0.0122166
         1.0993      0.0122127
         1.1041      0.0122088
         1.1089       0.012205
         1.1137      0.0122011
         1.1185      0.0121973
         1.1233      0.0121935
         1.1281      0.0121897
         1.1329      0.0121859
         1.1377      0.0121821
         1.1425      0.0121783
         1.1473      0.0121746
         1.1521      0.0121709
         1.1569      0.0121672
         1.1617      0.0121635
         1.1665      0.0121598
         1.1713      0.0121561
         1.1761      0.0121524
         1.1809      0.0121488
         1.1857      0.0121452
         1.1905      0.0121415
         1.1953      0.0121379
         1.2001      0.0121343
