            EDP         mean_x        sd_ln_x
          0.001      0.0332168         3.2578
         0.0015        1.51795        2.60659
          0.002        12.8143        2.16007
         0.0025        48.7108        1.82684
          0.003        118.954        1.56634
         0.0035        221.814        1.35705
          0.004        347.282        1.18612
         0.0045        483.144        1.04521
          0.005        619.095       0.928525
         0.0055         748.21       0.831777
          0.006        866.752       0.751613
         0.0065        973.335       0.685288
          0.007        1068.04       0.630491
         0.0075        1151.75       0.585237
          0.008        1225.66       0.547825
         0.0085        1291.03       0.516804
          0.009        1349.02       0.490959
         0.0095        1400.68       0.469288
           0.01        1446.89       0.450977
         0.0105         1488.4       0.435378
          0.011        1525.82       0.421978
         0.0115        1559.68       0.410376
          0.012        1590.42       0.400258
         0.0125        1618.41        0.39138
          0.013        1643.98       0.383549
         0.0135        1667.39       0.376613
          0.014         1688.9       0.370449
         0.0145        1708.71       0.364959
          0.015        1727.02       0.360059
         0.0155        1743.98        0.35568
          0.016        1759.74       0.351763
         0.0165        1774.44       0.348257
          0.017        1788.19       0.345116
         0.0175        1801.09       0.342301
          0.018        1813.24       0.339776
         0.0185        1824.71        0.33751
          0.019        1835.57       0.335473
         0.0195        1845.89       0.333641
           0.02        1855.72       0.331989
         0.0205        1865.11       0.330498
          0.021         1874.1       0.329148
         0.0215        1882.73       0.327924
          0.022        1891.03       0.326809
         0.0225        1899.02        0.32579
          0.023        1906.75       0.324856
         0.0235        1914.21       0.323996
          0.024        1921.44         0.3232
         0.0245        1928.45       0.322461
          0.025        1935.25        0.32177
         0.0255        1941.86       0.321122
          0.026        1948.28       0.320511
         0.0265        1954.53       0.319932
          0.027        1960.61       0.319381
         0.0275        1966.53       0.318854
          0.028        1972.29       0.318348
         0.0285        1977.91        0.31786
          0.029        1983.39       0.317388
         0.0295        1988.73        0.31693
           0.03        1993.93       0.316484
         0.0305         1999.0       0.316049
          0.031        2003.94       0.315624
         0.0315        2008.76       0.315208
          0.032        2013.46       0.314799
         0.0325        2018.04       0.314397
          0.033         2022.5       0.314003
         0.0335        2026.84       0.313614
          0.034        2031.08       0.313232
         0.0345         2035.2       0.312855
          0.035        2039.22       0.312483
         0.0355        2043.13       0.312117
          0.036        2046.93       0.311757
         0.0365        2050.64       0.311401
          0.037        2054.25       0.311051
         0.0375        2057.75       0.310706
          0.038        2061.17       0.310366
         0.0385        2064.49       0.310031
          0.039        2067.72       0.309701
         0.0395        2070.86       0.309377
           0.04        2073.91       0.309058
         0.0405        2076.88       0.308745
          0.041        2079.76       0.308437
         0.0415        2082.56       0.308134
          0.042        2085.28       0.307837
         0.0425        2087.93       0.307545
          0.043         2090.5       0.307258
         0.0435        2092.99       0.306978
          0.044        2095.41       0.306702
         0.0445        2097.76       0.306433
          0.045        2100.04       0.306168
         0.0455        2102.26        0.30591
          0.046        2104.41       0.305657
         0.0465        2106.49       0.305409
          0.047        2108.52       0.305167
         0.0475        2110.48        0.30493
          0.048        2112.38       0.304698
         0.0485        2114.23       0.304472
          0.049        2116.02       0.304251
         0.0495        2117.76       0.304035
           0.05        2119.45       0.303825
         0.0505        2121.08       0.303619
          0.051        2122.67       0.303419
         0.0515         2124.2       0.303223
          0.052        2125.69       0.303033
         0.0525        2127.14       0.302847
          0.053        2128.53       0.302666
         0.0535        2129.89       0.302489
          0.054        2131.21       0.302317
         0.0545        2132.48        0.30215
          0.055        2133.72       0.301987
         0.0555        2134.91       0.301828
          0.056        2136.07       0.301674
         0.0565         2137.2       0.301523
          0.057        2138.29       0.301377
         0.0575        2139.34       0.301235
          0.058        2140.37       0.301096
         0.0585        2141.36       0.300962
          0.059        2142.32       0.300831
         0.0595        2143.25       0.300703
           0.06        2144.15        0.30058
         0.0605        2145.03       0.300459
          0.061        2145.87       0.300342
         0.0615         2146.7       0.300229
          0.062        2147.49       0.300118
         0.0625        2148.26       0.300011
          0.063        2149.01       0.299907
         0.0635        2149.73       0.299805
          0.064        2150.43       0.299707
         0.0645        2151.11       0.299611
          0.065        2151.77       0.299519
         0.0655        2152.41       0.299428
          0.066        2153.02       0.299341
         0.0665        2153.62       0.299256
          0.067         2154.2       0.299173
         0.0675        2154.77       0.299093
          0.068        2155.31       0.299015
         0.0685        2155.84        0.29894
          0.069        2156.35       0.298866
         0.0695        2156.84       0.298795
           0.07        2157.32       0.298726
         0.0705        2157.79       0.298659
          0.071        2158.24       0.298594
         0.0715        2158.68       0.298531
          0.072         2159.1       0.298469
         0.0725        2159.51        0.29841
          0.073        2159.91       0.298352
         0.0735         2160.3       0.298296
          0.074        2160.67       0.298241
         0.0745        2161.03       0.298188
          0.075        2161.38       0.298137
         0.0755        2161.72       0.298087
          0.076        2162.05       0.298039
         0.0765        2162.37       0.297992
          0.077        2162.69       0.297947
         0.0775        2162.99       0.297902
          0.078        2163.28        0.29786
         0.0785        2163.56       0.297818
          0.079        2163.83       0.297778
         0.0795         2164.1       0.297738
           0.08        2164.36         0.2977
         0.0805        2164.61       0.297663
          0.081        2164.85       0.297628
         0.0815        2165.09       0.297593
          0.082        2165.31       0.297559
         0.0825        2165.53       0.297526
          0.083        2165.75       0.297495
         0.0835        2165.96       0.297464
          0.084        2166.16       0.297434
         0.0845        2166.35       0.297405
          0.085        2166.54       0.297376
         0.0855        2166.73       0.297349
          0.086        2166.91       0.297322
         0.0865        2167.08       0.297297
          0.087        2167.25       0.297272
         0.0875        2167.41       0.297247
          0.088        2167.57       0.297224
         0.0885        2167.72       0.297201
          0.089        2167.87       0.297178
         0.0895        2168.02       0.297157
           0.09        2168.16       0.297136
         0.0905        2168.29       0.297116
          0.091        2168.42       0.297096
         0.0915        2168.55       0.297077
          0.092        2168.68       0.297058
         0.0925         2168.8        0.29704
          0.093        2168.92       0.297022
         0.0935        2169.03       0.297005
          0.094        2169.14       0.296989
         0.0945        2169.25       0.296972
          0.095        2169.35       0.296957
         0.0955        2169.45       0.296942
          0.096        2169.55       0.296927
         0.0965        2169.65       0.296913
          0.097        2169.74       0.296899
         0.0975        2169.83       0.296885
          0.098        2169.92       0.296872
         0.0985         2170.0       0.296859
          0.099        2170.08       0.296847
         0.0995        2170.16       0.296835
            0.1        2170.24       0.296823
