           IM.1         mean_x        sd_ln_x
           0.01    8.67434e-22        7.85517
       0.025101    1.86748e-12        6.34076
       0.040202    1.82863e-08        5.56914
       0.055303    4.73585e-06        5.04567
       0.070404    0.000220068        4.64979
      0.0855051     0.00375419        4.33414
       0.100606      0.0322657        4.07855
       0.115707       0.100352        3.93703
       0.130808       0.263965        3.81219
       0.145909       0.606681        3.70125
        0.16101        1.24991        3.60189
       0.176111        2.35047        3.51244
       0.191212        4.09171        3.43159
       0.206313        7.36286        3.34079
       0.221414        13.8611         3.2417
       0.236515        23.7569        3.15049
       0.251616        37.5344        3.06825
       0.266717        55.3401        2.99405
       0.281818        76.9935        2.92716
       0.296919        102.068        2.86677
        0.31202        145.947        2.78526
       0.327121        198.735        2.70944
       0.342222        254.114         2.6447
       0.357323        309.926        2.58909
       0.372424        364.733        2.54095
       0.387525        417.561        2.49903
       0.402626        474.809         2.4585
       0.417727        559.696        2.40794
       0.432828        636.442        2.36636
       0.447929        705.177        2.33171
        0.46303        766.436        2.30249
       0.478131        820.892        2.27765
       0.493232        869.321         2.2563
       0.508333        895.908         2.2453
       0.523434         907.77        2.24104
       0.538535        919.374        2.23691
       0.553636        930.727        2.23289
       0.568737        941.837          2.229
       0.583838        952.709        2.22521
       0.598939        963.351        2.22152
        0.61404        1038.81        2.19789
       0.629141        1110.03        2.17657
       0.644242        1173.55        2.15823
       0.659343        1229.67         2.1426
       0.674444        1282.55        2.12801
       0.689545        1329.86        2.11531
       0.704646        1365.94        2.10572
       0.719747        1383.78        2.10092
       0.734848        1400.92        2.09634
       0.749949        1417.41        2.09195
       0.765051        1433.28        2.08774
       0.780152        1448.58        2.08371
       0.795253        1463.32        2.07984
       0.810354        1457.55        2.08137
       0.825455        1442.02        2.08549
       0.840556        1425.86        2.08978
       0.855657        1409.04        2.09428
       0.870758         1391.5          2.099
       0.885859         1373.2        2.10394
        0.90096        1356.87        2.10845
       0.916061        1380.96        2.10293
       0.931162        1404.79        2.09748
       0.946263         1428.4        2.09207
       0.961364        1451.79        2.08671
       0.976465        1474.97        2.08141
       0.991566        1497.92         2.0761
        1.00667        1539.51         2.0668
        1.02177        1605.55        2.05166
        1.03687        1671.39        2.03535
        1.05197         1735.1        2.01807
        1.06707        1794.01        2.00022
        1.08217        1845.19        1.98303
        1.09727        1886.69        1.96812
        1.11237        1870.56        1.97402
        1.12747        1837.93        1.98561
        1.14258        1800.14        1.99829
        1.15768        1758.07        2.01135
        1.17278        1712.88        2.02427
        1.18788        1665.77        2.03666
        1.20298        1619.53        2.04819
        1.21808        1579.77        2.05799
        1.23318        1539.12         2.0678
        1.24828        1497.75        2.07757
        1.26338        1455.71        2.08738
        1.27848        1412.94        2.09725
        1.29359        1369.47        2.10728
        1.30869        1341.05        2.11383
        1.32379        1324.08        2.11772
        1.33889         1307.0        2.12165
        1.35399        1289.81        2.12561
        1.36909        1272.48        2.14055
        1.38419        1254.01        2.13407
        1.39929        1237.39        2.13783
        1.41439        1223.22        2.14213
        1.42949        1208.64        2.14664
         1.4446        1193.44        2.15137
         1.4597        1177.56        2.15634
         1.4748        1160.99        2.16156
         1.4899        1143.66        2.16707
          1.505        1131.63        2.17091
         1.5201        1131.63        2.17091
         1.5352        1131.63        2.17091
         1.5503        1131.63        2.17091
         1.5654        1131.63        2.17091
        1.58051        1131.63        2.17091
        1.59561        1131.63        2.17091
        1.61071        1131.63        2.17091
        1.62581        1131.63        2.17091
        1.64091        1131.63        2.17091
        1.65601        1131.63        2.17091
        1.67111        1131.63        2.17091
        1.68621        1131.63        2.17091
        1.70131        1131.63        2.17091
        1.71641        1131.63        2.17091
        1.73152        1131.63        2.17091
        1.74662        1131.63        2.17091
        1.76172        1131.63        2.17091
        1.77682        1131.63        2.17091
        1.79192        1131.63        2.17091
        1.80702        1131.63        2.17091
        1.82212        1131.63        2.17091
        1.83722        1131.63        2.17091
        1.85232        1131.63        2.17091
        1.86742        1131.63        2.17091
        1.88253        1131.63        2.17091
        1.89763        1131.63        2.17091
        1.91273        1131.63        2.17091
        1.92783        1131.63        2.17091
        1.94293        1131.63        2.17091
        1.95803        1131.63        2.17091
        1.97313        1131.63        2.17091
        1.98823        1131.63        2.17091
        2.00333        1131.63        2.17091
        2.01843        1131.63        2.17091
        2.03354        1131.63        2.17091
