            EDP            DS1            DS2            DS3            DS4          E(DS)
            0.0            0.0            0.0            0.0            0.0            0.0
           0.01       0.966568       0.672305      0.0334324    0.000643471        1.67295
           0.02       0.999357       0.966568       0.327695      0.0334324        2.32705
           0.03       0.999972       0.995897       0.642311       0.153473        2.79165
           0.04       0.999998       0.999357       0.826393       0.327695        3.15344
           0.05            1.0       0.999876       0.917171            0.5        3.41705
           0.06            1.0       0.999972       0.960022       0.642311         3.6023
           0.07            1.0       0.999993       0.980264       0.749509        3.72977
           0.08            1.0       0.999998       0.989999       0.826393        3.81639
           0.09            1.0       0.999999       0.994794       0.880117        3.87491
            0.1            1.0            1.0       0.997219       0.917171        3.91439
           0.11            1.0            1.0       0.998478       0.942592        3.94107
           0.12            1.0            1.0       0.999147       0.960022        3.95917
           0.13            1.0            1.0       0.999512       0.971999        3.97151
           0.14            1.0            1.0       0.999715       0.980264        3.97998
           0.15            1.0            1.0       0.999831       0.985998        3.98583
           0.16            1.0            1.0       0.999897       0.989999         3.9899
           0.17            1.0            1.0       0.999937       0.992808        3.99275
           0.18            1.0            1.0       0.999961       0.994794        3.99476
           0.19            1.0            1.0       0.999975       0.996207        3.99618
            0.2            1.0            1.0       0.999984       0.997219         3.9972
