            EDP            DS1          E(DS)
            0.0            0.0            0.0
           0.01    4.74301e-35    4.74301e-35
           0.02    8.79611e-24    8.79611e-24
           0.03    2.95635e-18    2.95635e-18
           0.04    8.25265e-15    8.25265e-15
           0.05    2.08242e-12    2.08242e-12
           0.06    1.27659e-10    1.27659e-10
           0.07    3.12555e-09    3.12555e-09
           0.08     4.0521e-08     4.0521e-08
           0.09    3.31016e-07    3.31016e-07
            0.1    1.90965e-06    1.90965e-06
           0.11    8.41437e-06    8.41437e-06
           0.12    2.99451e-05    2.99451e-05
           0.13    8.96832e-05    8.96832e-05
           0.14    0.000233147    0.000233147
           0.15     0.00053882     0.00053882
           0.16     0.00112792     0.00112792
           0.17     0.00217075     0.00217075
           0.18     0.00388745     0.00388745
           0.19     0.00654212     0.00654212
            0.2      0.0104305      0.0104305
