           IM.1            DS1            DS2            DS3            DS4          E(DS)
           0.01    8.41927e-17    3.72725e-19    1.24501e-24    2.72511e-22    8.45657e-17
       0.025101    2.09582e-09    6.80452e-12    6.37239e-17    3.70012e-16    2.10262e-09
       0.040202    1.96336e-06    9.03345e-09    2.23785e-13    2.74715e-13     1.9724e-06
       0.055303    9.47207e-05    7.06661e-07    4.36902e-11    2.10793e-11    9.54275e-05
       0.070404      0.0011317    1.41737e-05     2.0965e-09    5.44336e-10     0.00114588
      0.0855051     0.00609503    0.000126707    4.29879e-08    7.34948e-09     0.00622178
       0.100606      0.0196514    0.000651984    4.74052e-07    6.22572e-08      0.0203039
       0.115707      0.0394006     0.00168696    1.79597e-06    2.13556e-07      0.0410896
       0.130808      0.0676375     0.00364163    5.44374e-06    6.04979e-07      0.0712851
       0.145909        0.10378     0.00687558    1.39843e-05    1.48206e-06       0.110671
        0.16101       0.146421      0.0117175    3.16718e-05    3.24136e-06       0.158174
       0.176111       0.193857      0.0184283    6.44336e-05    6.47273e-06       0.212356
       0.191212       0.244261      0.0271835    0.000120936    1.20023e-05       0.271578
       0.206313       0.341198      0.0525307    0.000416414    4.14831e-05       0.394187
       0.221414       0.479472       0.115999     0.00229652    0.000253389       0.598021
       0.236515       0.580098       0.193046     0.00788243     0.00103036       0.782057
       0.251616       0.649105        0.27046      0.0194328     0.00308342       0.942081
       0.266717       0.695454       0.340334      0.0379401      0.0072996        1.08103
       0.281818       0.727192       0.399731      0.0627564      0.0144533        1.20413
       0.296919       0.748878       0.448901      0.0921606      0.0249301        1.31487
        0.31202       0.785322       0.499209       0.116929      0.0338969        1.43536
       0.327121       0.819625       0.546441       0.140668      0.0426454        1.54938
       0.342222       0.847644       0.588808       0.164823      0.0520482        1.65332
       0.357323       0.870771       0.626744       0.189119      0.0620029        1.74864
       0.372424       0.889777       0.660727       0.213354      0.0724186        1.83628
       0.387525       0.905642       0.691193        0.23737      0.0832148        1.91742
       0.402626       0.917447       0.715404       0.257519      0.0929095        1.98328
       0.417727        0.92133       0.723375       0.264893      0.0960341        2.00563
       0.432828       0.925022       0.731117        0.27163       0.099175        2.02694
       0.447929       0.928534       0.738638       0.278336       0.102331        2.04784
        0.46303       0.931876       0.745945        0.28501       0.105489        2.06832
       0.478131       0.935057       0.753043       0.291651       0.108672        2.08842
       0.493232       0.938084       0.759941       0.298258       0.111868        2.10815
       0.508333       0.937356       0.760152       0.301521       0.114328        2.11336
       0.523434       0.933608         0.7551       0.302082       0.116177        2.10697
       0.538535       0.929794       0.750116       0.302632       0.118017        2.10056
       0.553636       0.925921       0.745199       0.303171       0.119847        2.09414
       0.568737       0.921937       0.740352       0.303698       0.121666        2.08765
       0.583838       0.917961       0.735573       0.304214       0.123472        2.08122
       0.598939       0.913941       0.730864       0.304718       0.125279         2.0748
        0.61404       0.911458       0.726293       0.300698       0.123231        2.06168
       0.629141       0.909041       0.721646       0.296314       0.120895         2.0479
       0.644242       0.906551       0.716909       0.291908       0.118549        2.03392
       0.659343       0.903984       0.712081        0.28748       0.116219        2.01976
       0.674444       0.901337       0.705952        0.28303       0.113892        2.00421
       0.689545       0.898608       0.702141       0.278559       0.111568        1.99088
       0.704646       0.895586       0.697626       0.275951       0.110611        1.97977
       0.719747       0.892068       0.694466       0.277559       0.112717        1.97681
       0.734848       0.888552       0.691363        0.27914        0.11483        1.97388
       0.749949       0.885039       0.688314       0.280695       0.116924        1.97097
       0.765051       0.881533        0.68532       0.282224        0.11901        1.96809
       0.780152       0.878036       0.682378       0.283727       0.121088        1.96523
       0.795253       0.874549       0.679489       0.285204       0.123156         1.9624
       0.810354       0.883402       0.692605       0.294591       0.127665        1.99826
       0.825455        0.89693       0.712451       0.307548       0.133216        2.05014
       0.840556       0.909355       0.731621       0.320452        0.13868        2.10011
       0.855657       0.920741       0.750134        0.33333       0.144067        2.14827
