           IM.1            DS1            DS2          E(DS)
           0.01    4.92089e-48    1.19709e-59    4.92089e-48
       0.025101    3.00881e-32    4.50971e-40    3.00881e-32
       0.040202    1.36871e-24    2.29839e-30    1.36871e-24
       0.055303    1.78426e-19    8.32353e-24    1.78435e-19
       0.070404    1.05593e-15    5.76348e-19     1.0565e-15
      0.0855051    8.09793e-13    2.73315e-15    8.12526e-13
       0.100606    1.28507e-10    1.61186e-12    1.30118e-10
       0.115707     1.1654e-09    2.09154e-11    1.18631e-09
       0.130808     7.1425e-09    1.72829e-10    7.31533e-09
       0.145909     3.2812e-08    1.02471e-09    3.38367e-08
        0.16101    1.20981e-07    4.71451e-09    1.25696e-07
       0.176111    3.75536e-07    1.77794e-08    3.93316e-07
       0.191212    1.01522e-06    5.71344e-08    1.07235e-06
       0.206313    8.97861e-06    8.39224e-07    9.81783e-06
       0.221414      0.0001772    3.39274e-05    0.000211128
       0.236515     0.00134482    0.000407174     0.00175199
       0.251616     0.00551149     0.00225644     0.00776792
       0.266717      0.0150482     0.00756327      0.0226115
       0.281818      0.0312602      0.0181374      0.0493976
       0.296919      0.0538212      0.0346273      0.0884485
        0.31202      0.0685828      0.0457604       0.114343
       0.327121      0.0812328      0.0554052       0.136638
       0.342222      0.0945514      0.0657985        0.16035
       0.357323        0.10842      0.0768495       0.185269
       0.372424       0.122729      0.0884665       0.211196
       0.387525       0.137364       0.100612       0.237976
       0.402626       0.151731       0.112485       0.264215
       0.417727       0.163895       0.121645        0.28554
       0.432828       0.176196       0.130821       0.307017
       0.447929       0.188655       0.140153       0.328809
        0.46303       0.201298         0.1496       0.350898
       0.478131       0.214155       0.158902       0.373057
       0.493232       0.227254       0.168605        0.39586
       0.508333       0.235653       0.176239       0.411893
       0.523434       0.239981       0.181382       0.421363
       0.538535       0.244185       0.186401       0.430586
       0.553636       0.248266       0.191295       0.439562
       0.568737       0.252228       0.196065       0.448293
       0.583838       0.256072       0.200712       0.456784
       0.598939       0.259802       0.205152       0.464953
        0.61404       0.260317       0.204682       0.464999
       0.629141       0.260573       0.203684       0.464257
       0.644242       0.260808       0.202619       0.463427
       0.659343       0.261024       0.202413       0.463438
       0.674444       0.261222       0.200279       0.461502
       0.689545       0.261406       0.199004        0.46041
       0.704646       0.265535        0.20152       0.467055
       0.719747       0.278565       0.212753       0.491318
       0.734848       0.291575       0.224059       0.515634
       0.749949       0.304555       0.235424        0.53998
       0.765051       0.317492       0.246836       0.564328
       0.780152       0.330374       0.258282       0.588656
       0.795253        0.34319       0.269753       0.612943
       0.810354       0.338912       0.264428        0.60334
       0.825455       0.326348        0.25102       0.577368
       0.840556       0.313224       0.237186       0.550409
       0.855657       0.299542       0.222959       0.522501
       0.870758       0.285339       0.208384       0.493722
       0.885859       0.270583       0.193744       0.464327
        0.90096       0.256661       0.179758       0.436419
       0.916061       0.262081       0.185157       0.447238
       0.931162       0.267438        0.19053       0.457968
       0.946263       0.272731       0.196074       0.468805
       0.961364       0.277956       0.201163        0.47912
       0.976465        0.28311       0.206435       0.489546
       0.991566       0.288172       0.211668        0.49984
        1.00667       0.282551       0.206753       0.489304
        1.02177        0.26313       0.189219       0.452349
        1.03687       0.243405       0.171414       0.414819
        1.05197       0.223481       0.153437       0.376918
        1.06707       0.203465       0.136875        0.34034
        1.08217       0.183515       0.120259       0.303774
        1.09727       0.163758       0.104275       0.268033
        1.11237       0.157125       0.098451       0.255576
        1.12747       0.153323      0.0947834       0.248106
        1.14258       0.149506      0.0911402       0.240647
        1.15768       0.145705      0.0875192       0.233224
        1.17278       0.141875      0.0839291       0.225804
        1.18788       0.138044      0.0803753       0.218419
        1.20298       0.137875      0.0793351        0.21721
        1.21808       0.153081        0.08879       0.241871
        1.23318       0.169219       0.098908       0.268127
        1.24828       0.186259       0.109739       0.295999
        1.26338       0.204203       0.119926       0.324129
        1.27848       0.223094        0.13374       0.356834
        1.29359       0.242947       0.146997       0.389944
        1.30869       0.254891       0.156129        0.41102
        1.32379       0.260453       0.161743       0.422196
        1.33889       0.265973       0.167376        0.43335
        1.35399       0.271473       0.173018       0.444491
        1.36909       0.276888       0.178662        0.45555
        1.38419       0.282246       0.184301       0.466547
        1.39929       0.287543       0.189926        0.47747
        1.41439       0.278471       0.179904       0.458375
        1.42949       0.268452       0.169076       0.437528
         1.4446       0.258277       0.158269       0.416546
         1.4597       0.247979       0.147594       0.395573
         1.4748       0.237592       0.137041       0.374633
         1.4899       0.227243       0.126773       0.354017
          1.505       0.220279       0.120119       0.340398
         1.5201       0.220279       0.120119       0.340398
         1.5352       0.220279       0.120119       0.340398
         1.5503       0.220279       0.120119       0.340398
         1.5654       0.220279       0.120119       0.340398
        1.58051       0.220279       0.120119       0.340398
        1.59561       0.220279       0.120119       0.340398
        1.61071       0.220279       0.120119       0.340398
        1.62581       0.220279       0.120119       0.340398
        1.64091       0.220279       0.120119       0.340398
        1.65601       0.220279       0.120119       0.340398
        1.67111       0.220279       0.120119       0.340398
        1.68621       0.220279       0.120119       0.340398
        1.70131       0.220279       0.120119       0.340398
        1.71641       0.220279       0.120119       0.340398
        1.73152       0.220279       0.120119       0.340398
        1.74662       0.220279       0.120119       0.340398
        1.76172       0.220279       0.120119       0.340398
        1.77682       0.220279       0.120119       0.340398
        1.79192       0.220279       0.120119       0.340398
        1.80702       0.220279       0.120119       0.340398
        1.82212       0.220279       0.120119       0.340398
        1.83722       0.220279       0.120119       0.340398
        1.85232       0.220279       0.120119       0.340398
        1.86742       0.220279       0.120119       0.340398
        1.88253       0.220279       0.120119       0.340398
        1.89763       0.220279       0.120119       0.340398
        1.91273       0.220279       0.120119       0.340398
        1.92783       0.220279       0.120119       0.340398
        1.94293       0.220279       0.120119       0.340398
        1.95803       0.220279       0.120119       0.340398
        1.97313       0.220279       0.120119       0.340398
        1.98823       0.220279       0.120119       0.340398
        2.00333       0.220279       0.120119       0.340398
        2.01843       0.220279       0.120119       0.340398
        2.03354       0.220279       0.120119       0.340398
        2.04864       0.220279       0.120119       0.340398
        2.06374       0.220279       0.120119       0.340398
        2.07884       0.220279       0.120119       0.340398
        2.09394       0.220279       0.120119       0.340398
        2.10904       0.220279       0.120119       0.340398
        2.12414       0.220279       0.120119       0.340398
        2.13924       0.220279       0.120119       0.340398
        2.15434       0.220279       0.120119       0.340398
        2.16944       0.220279       0.120119       0.340398
        2.18455       0.220279       0.120119       0.340398
        2.19965       0.220279       0.120119       0.340398
        2.21475       0.220279       0.120119       0.340398
        2.22985       0.220279       0.120119       0.340398
        2.24495       0.220279       0.120119       0.340398
        2.26005       0.220279       0.120119       0.340398
        2.27515       0.220279       0.120119       0.340398
        2.29025       0.220279       0.120119       0.340398
        2.30535       0.220279       0.120119       0.340398
        2.32045       0.220279       0.120119       0.340398
        2.33556       0.220279       0.120119       0.340398
        2.35066       0.220279       0.120119       0.340398
        2.36576       0.220279       0.120119       0.340398
        2.38086       0.220279       0.120119       0.340398
        2.39596       0.220279       0.120119       0.340398
        2.41106       0.220279       0.120119       0.340398
        2.42616       0.220279       0.120119       0.340398
        2.44126       0.220279       0.120119       0.340398
        2.45636       0.220279       0.120119       0.340398
        2.47146       0.220279       0.120119       0.340398
        2.48657       0.220279       0.120119       0.340398
        2.50167       0.220279       0.120119       0.340398
        2.51677       0.220279       0.120119       0.340398
        2.53187       0.220279       0.120119       0.340398
        2.54697       0.220279       0.120119       0.340398
        2.56207       0.220279       0.120119       0.340398
        2.57717       0.220279       0.120119       0.340398
        2.59227       0.220279       0.120119       0.340398
        2.60737       0.220279       0.120119       0.340398
        2.62247       0.220279       0.120119       0.340398
        2.63758       0.220279       0.120119       0.340398
        2.65268       0.220279       0.120119       0.340398
        2.66778       0.220279       0.120119       0.340398
        2.68288       0.220279       0.120119       0.340398
        2.69798       0.220279       0.120119       0.340398
        2.71308       0.220279       0.120119       0.340398
        2.72818       0.220279       0.120119       0.340398
        2.74328       0.220279       0.120119       0.340398
        2.75838       0.220279       0.120119       0.340398
        2.77348       0.220279       0.120119       0.340398
        2.78859       0.220279       0.120119       0.340398
        2.80369       0.220279       0.120119       0.340398
        2.81879       0.220279       0.120119       0.340398
        2.83389       0.220279       0.120119       0.340398
        2.84899       0.220279       0.120119       0.340398
        2.86409       0.220279       0.120119       0.340398
        2.87919       0.220279       0.120119       0.340398
        2.89429       0.220279       0.120119       0.340398
        2.90939       0.220279       0.120119       0.340398
        2.92449       0.220279       0.120119       0.340398
         2.9396       0.220279       0.120119       0.340398
         2.9547       0.220279       0.120119       0.340398
         2.9698       0.220279       0.120119       0.340398
         2.9849       0.220279       0.120119       0.340398
            3.0       0.220279       0.120119       0.340398
