           IM.1            DS1          E(DS)
           0.01    2.42492e-64    2.42492e-64
       0.025101    2.41453e-27    2.41453e-27
       0.040202    8.61986e-14    8.61986e-14
       0.055303    1.43474e-07    1.43474e-07
       0.070404    0.000155709    0.000155709
      0.0855051     0.00552412     0.00552412
       0.100606      0.0368715      0.0368715
       0.115707       0.091644       0.091644
       0.130808        0.17894        0.17894
       0.145909       0.284979       0.284979
        0.16101       0.398783       0.398783
       0.176111       0.509168       0.509168
       0.191212       0.608956       0.608956
       0.206313       0.738683       0.738683
       0.221414       0.843336       0.843336
       0.236515       0.889261       0.889261
       0.251616       0.911141       0.911141
       0.266717       0.921928       0.921928
       0.281818       0.927157       0.927157
       0.296919       0.929193       0.929193
        0.31202       0.937247       0.937247
       0.327121       0.945475       0.945475
       0.342222       0.952205       0.952205
       0.357323       0.957755       0.957755
       0.372424       0.962334       0.962334
       0.387525       0.966218       0.966218
       0.402626       0.970482       0.970482
       0.417727       0.978383       0.978383
       0.432828       0.984373       0.984373
       0.447929       0.988967       0.988967
        0.46303       0.992417       0.992417
       0.478131       0.994896       0.994896
       0.493232       0.996702       0.996702
       0.508333       0.996908       0.996908
       0.523434       0.996056       0.996056
       0.538535       0.995058       0.995058
       0.553636       0.993941       0.993941
       0.568737       0.992649       0.992649
       0.583838       0.991201       0.991201
       0.598939       0.989595       0.989595
        0.61404       0.991237       0.991237
       0.629141       0.992903       0.992903
       0.644242       0.994343       0.994343
       0.659343       0.995548       0.995548
       0.674444       0.996583       0.996583
       0.689545        0.99743        0.99743
       0.704646        0.99803        0.99803
       0.719747       0.998361       0.998361
       0.734848       0.998637       0.998637
       0.749949       0.998922       0.998922
       0.765051       0.999115       0.999115
       0.780152       0.999275       0.999275
       0.795253       0.999409       0.999409
       0.810354       0.999549       0.999549
       0.825455       0.999673       0.999673
       0.840556       0.999769       0.999769
       0.855657       0.999928       0.999928
       0.870758       0.999954       0.999954
       0.885859       0.999976       0.999976
        0.90096       0.999998       0.999998
       0.916061       0.999988       0.999988
       0.931162       0.999979       0.999979
       0.946263        0.99997        0.99997
       0.961364       0.999961       0.999961
       0.976465       0.999952       0.999952
       0.991566       0.999942       0.999942
        1.00667        1.09382        1.09382
        1.02177       0.999876       0.999876
        1.03687       0.999862       0.999862
        1.05197       0.999685       0.999685
        1.06707       0.999673       0.999673
        1.08217       0.999825       0.999825
        1.09727       0.999804       0.999804
        1.11237       0.999812       0.999812
        1.12747       0.999828       0.999828
        1.14258       0.999932       0.999932
        1.15768       0.999921       0.999921
        1.17278       0.999934       0.999934
        1.18788       0.999946       0.999946
        1.20298       0.999961       0.999961
        1.21808       0.999978       0.999978
        1.23318       0.999997       0.999997
        1.24828        0.99876        0.99876
        1.26338        1.00002        1.00002
        1.27848        1.00002        1.00002
        1.29359            1.0            1.0
        1.30869            1.0            1.0
        1.32379        1.00001        1.00001
        1.33889        1.00001        1.00001
        1.35399        1.00002        1.00002
        1.36909        1.00002        1.00002
        1.38419        1.00002        1.00002
        1.39929        1.00002        1.00002
        1.41439        1.00002        1.00002
        1.42949        1.00001        1.00001
         1.4446       0.999999       0.999999
         1.4597       0.999992       0.999992
         1.4748        1.00012        1.00012
         1.4899        1.00008        1.00008
          1.505        1.00005        1.00005
         1.5201        1.00005        1.00005
         1.5352        1.00005        1.00005
         1.5503        1.00005        1.00005
         1.5654        1.00005        1.00005
        1.58051        1.00005        1.00005
        1.59561        1.00005        1.00005
        1.61071        1.00005        1.00005
        1.62581        1.00005        1.00005
        1.64091        1.00005        1.00005
        1.65601        1.00005        1.00005
        1.67111        1.00005        1.00005
        1.68621        1.00005        1.00005
        1.70131        1.00005        1.00005
        1.71641        1.00005        1.00005
        1.73152        1.00005        1.00005
        1.74662        1.00005        1.00005
        1.76172        1.00005        1.00005
        1.77682        1.00005        1.00005
        1.79192        1.00005        1.00005
        1.80702        1.00005        1.00005
        1.82212        1.00005        1.00005
        1.83722        1.00005        1.00005
        1.85232        1.00005        1.00005
        1.86742        1.00005        1.00005
