            EDP         lambda
           0.05      0.0641382
      0.0511766      0.0618453
      0.0523808      0.0596259
      0.0536134      0.0574781
      0.0548749      0.0554008
      0.0561662      0.0533937
      0.0574878      0.0514317
      0.0588406      0.0495539
      0.0602252      0.0477554
      0.0616423      0.0459769
      0.0630928      0.0442768
      0.0645775      0.0426484
      0.0660971      0.0410594
      0.0676524      0.0395313
      0.0692443      0.0380496
      0.0708737      0.0366311
      0.0725414      0.0352669
      0.0742484      0.0339362
      0.0759956      0.0326696
      0.0777838      0.0314614
      0.0796141      0.0303098
      0.0814875      0.0291901
       0.083405      0.0281148
      0.0853676      0.0270823
      0.0873764       0.026092
      0.0894325      0.0251405
      0.0915369      0.0242271
      0.0936909      0.0228876
      0.0958955       0.022511
       0.098152      0.0217052
       0.100462      0.0209378
       0.102826      0.0201962
       0.105245      0.0194847
       0.107722      0.0188111
       0.110257      0.0181589
       0.112851      0.0175267
       0.115506      0.0169226
       0.118224      0.0163423
       0.121006      0.0157847
       0.123854      0.0152488
       0.126768      0.0147408
       0.129751      0.0142351
       0.132804      0.0137685
       0.135929      0.0133096
       0.139128      0.0128686
       0.142402      0.0124487
       0.145753      0.0120381
       0.149182      0.0116419
       0.152693      0.0112595
       0.156286      0.0108903
       0.159963      0.0105335
       0.163727      0.0101886
        0.16758     0.00985511
       0.171523     0.00953243
        0.17556     0.00922013
       0.179691     0.00891777
       0.183919     0.00862495
       0.188247      0.0083415
       0.192676     0.00806481
        0.19721     0.00779856
       0.201851     0.00754307
       0.206601      0.0072883
       0.211462     0.00704715
       0.216438     0.00680786
       0.221531     0.00657994
       0.226744     0.00635917
       0.232079     0.00614536
       0.237541     0.00593833
        0.24313     0.00573789
       0.248851     0.00554314
       0.254707     0.00535541
         0.2607     0.00517377
       0.266835     0.00499807
       0.273114     0.00482816
       0.279541     0.00466389
       0.286118     0.00450555
       0.292851     0.00435209
       0.299742      0.0042038
       0.306795     0.00406054
       0.314015     0.00392213
       0.321404     0.00379063
       0.328967      0.0036615
       0.336708     0.00353604
       0.344631     0.00341558
        0.35274      0.0032992
        0.36104     0.00318673
       0.369536     0.00307802
       0.378232     0.00297291
       0.387132     0.00287346
       0.396241     0.00277918
       0.405565     0.00268045
       0.415109     0.00258514
       0.424877     0.00250235
       0.434875     0.00241578
       0.445108     0.00233181
       0.455581     0.00224341
       0.466302     0.00216316
       0.477274     0.00208642
       0.488505     0.00201184
            0.5     0.00193932
       0.511766     0.00186879
       0.523808     0.00180016
       0.536134     0.00173337
       0.548749     0.00166835
       0.561662     0.00161147
       0.574878     0.00154976
       0.588406      0.0014905
       0.602252     0.00143164
       0.616423     0.00137462
       0.630928     0.00131944
       0.645775     0.00126548
       0.660971     0.00121303
       0.676524     0.00116207
       0.692443     0.00111195
       0.708737     0.00106405
       0.725414     0.00101762
       0.742484    0.000972344
       0.759956      0.0009345
       0.777838    0.000887658
       0.796141    0.000847049
       0.814875    0.000807929
        0.83405    0.000770297
       0.853676    0.000734256
       0.873764    0.000699588
       0.894325    0.000666397
       0.915369    0.000634673
       0.936909    0.000603157
       0.958955    0.000574428
        0.98152    0.000547125
        1.00462    0.000521231
        1.02826    0.000496728
        1.05245    0.000469013
        1.07722    0.000451799
        1.10257    0.000431322
        1.12851     0.00041213
        1.15506    0.000394191
        1.18224    0.000377469
        1.21006    0.000361926
        1.23854    0.000347521
        1.26768     0.00033421
        1.29751    0.000321949
        1.32804    0.000310647
        1.35929    0.000300344
        1.39128    0.000290945
        1.42402    0.000282109
        1.45753    0.000274131
        1.49182    0.000285533
        1.52693     0.00026079
        1.56286    0.000255006
        1.59963     0.00024994
        1.63727    0.000245427
         1.6758    0.000241418
        1.71523    0.000237871
         1.7556    0.000233631
        1.79691    0.000230909
        1.83919    0.000229583
        1.88247     0.00022748
        1.92676     0.00022565
         1.9721    0.000224063
        2.01851    0.000222692
        2.06601     0.00022151
        2.11462    0.000220683
        2.16438    0.000219813
        2.21531    0.000218993
        2.26744    0.000218362
        2.32079    0.000217827
        2.37541    0.000217374
         2.4313    0.000216993
        2.48851    0.000216673
        2.54707    0.000216405
          2.607    0.000216182
        2.66835    0.000215996
        2.73114    0.000215842
        2.79541    0.000215714
        2.86118    0.000215609
        2.92851    0.000215523
        2.99742    0.000215452
        3.06795    0.000215394
        3.14015    0.000215347
        3.21404    0.000215309
        3.28967    0.000215278
        3.36708    0.000215253
        3.44631    0.000215233
         3.5274    0.000215217
         3.6104    0.000215204
        3.69536    0.000215194
        3.78232    0.000215186
        3.87132    0.000215179
        3.96241    0.000215174
        4.05565     0.00021517
        4.15109    0.000215167
        4.24877    0.000215165
        4.34875    0.000215163
        4.45108    0.000215161
        4.55581     0.00021516
        4.66302    0.000215159
        4.77274    0.000215158
        4.88505    0.000215158
            5.0    0.000215157
