           Year         E[ALt]
              1        9737.54
              2        18908.0
              3        27544.4
              4        35677.9
              5        43337.7
              6        50551.5
              7        57345.1
              8        63743.1
              9        69768.6
             10        75443.1
             11        80787.2
             12        85820.0
             13        90559.8
             14        95023.6
             15        99227.4
             16    1.03186e+05
             17    1.06915e+05
             18    1.10426e+05
             19    1.13733e+05
             20    1.16847e+05
             21     1.1978e+05
             22    1.22542e+05
             23    1.25143e+05
             24    1.27593e+05
             25      1.299e+05
             26    1.32073e+05
             27    1.34119e+05
             28    1.36046e+05
             29    1.37861e+05
             30     1.3957e+05
             31     1.4118e+05
             32    1.42696e+05
             33    1.44123e+05
             34    1.45468e+05
             35    1.46734e+05
             36    1.47926e+05
             37    1.49049e+05
             38    1.50107e+05
             39    1.51103e+05
             40    1.52041e+05
             41    1.52924e+05
             42    1.53756e+05
             43     1.5454e+05
             44    1.55277e+05
             45    1.55972e+05
             46    1.56627e+05
             47    1.57243e+05
             48    1.57823e+05
             49     1.5837e+05
             50    1.58885e+05
             51     1.5937e+05
             52    1.59826e+05
             53    1.60256e+05
             54    1.60661e+05
             55    1.61043e+05
             56    1.61402e+05
             57     1.6174e+05
             58    1.62058e+05
             59    1.62358e+05
             60    1.62641e+05
             61    1.62907e+05
             62    1.63158e+05
             63    1.63394e+05
             64    1.63616e+05
             65    1.63825e+05
             66    1.64022e+05
             67    1.64208e+05
             68    1.64383e+05
             69    1.64547e+05
             70    1.64702e+05
             71    1.64848e+05
             72    1.64986e+05
             73    1.65115e+05
             74    1.65237e+05
             75    1.65352e+05
             76     1.6546e+05
             77    1.65562e+05
             78    1.65658e+05
             79    1.65749e+05
             80    1.65834e+05
             81    1.65914e+05
             82    1.65989e+05
             83     1.6606e+05
             84    1.66127e+05
             85     1.6619e+05
             86     1.6625e+05
             87    1.66306e+05
             88    1.66358e+05
             89    1.66408e+05
             90    1.66455e+05
             91    1.66499e+05
             92     1.6654e+05
             93    1.66579e+05
             94    1.66616e+05
             95     1.6665e+05
             96    1.66683e+05
             97    1.66714e+05
             98    1.66742e+05
             99     1.6677e+05
