           IM.1         mean_x        sd_ln_x
           0.01      0.0147861      0.0313252
       0.025101      0.0372112      0.0786295
       0.040202      0.0598869       0.125934
       0.055303      0.0829671       0.173238
       0.070404        0.10661       0.220542
      0.0855051       0.130982       0.267847
       0.100606       0.156042        0.31371
       0.115707       0.176617       0.325117
       0.130808       0.197365       0.336523
       0.145909       0.218296       0.347929
        0.16101       0.239418       0.359336
       0.176111       0.260742       0.370742
       0.191212       0.282276       0.382148
       0.206313        0.30628       0.387073
       0.221414       0.333422       0.382974
       0.236515       0.360484       0.378876
       0.251616       0.387467       0.374778
       0.266717       0.414373       0.370679
       0.281818       0.441204       0.366581
       0.296919        0.46796       0.362482
        0.31202       0.489068       0.355795
       0.327121       0.508669       0.348445
       0.342222       0.528193       0.341094
       0.357323       0.547645       0.333744
       0.372424       0.567028       0.326393
       0.387525       0.586346       0.319042
       0.402626       0.604879        0.31382
       0.417727       0.619988       0.318709
       0.432828       0.635159       0.323598
       0.447929        0.65039       0.328487
        0.46303       0.665685       0.333375
       0.478131       0.681044       0.338264
       0.493232       0.696468       0.343153
       0.508333        0.70569       0.345165
       0.523434       0.709835       0.344842
       0.538535       0.713979       0.344519
       0.553636       0.718123       0.344195
       0.568737       0.722265       0.343872
       0.583838       0.726407       0.343549
       0.598939       0.730548       0.343226
        0.61404       0.751974       0.341256
       0.629141       0.774677       0.339162
       0.644242       0.797351       0.337068
       0.659343       0.819997       0.334973
       0.674444       0.842613       0.332879
       0.689545       0.865202       0.330785
       0.704646       0.877719       0.324566
       0.719747       0.867818       0.309065
       0.734848       0.858199       0.293564
       0.749949       0.848854       0.278063
       0.765051       0.839777       0.262563
       0.780152       0.830961       0.247062
       0.795253       0.822399       0.231561
       0.810354       0.820199       0.236012
       0.825455       0.820964       0.249611
       0.840556       0.821878       0.263211
       0.855657       0.822941        0.27681
       0.870758       0.824152        0.29041
       0.885859       0.825514       0.304009
        0.90096       0.827303       0.315932
       0.916061       0.833288        0.30315
       0.931162        0.83935       0.290367
       0.946263       0.845492       0.277585
       0.961364       0.851718       0.264802
       0.976465       0.858031        0.25202
       0.991566       0.864435       0.239238
        1.00667       0.870808       0.232834
        1.02177       0.877056       0.234502
        1.03687       0.883312       0.236169
        1.05197       0.889574       0.237837
        1.06707       0.895844       0.239504
        1.08217       0.902122       0.241172
        1.09727       0.908407       0.242839
        1.11237       0.913181       0.248048
        1.12747       0.917662       0.254038
        1.14258       0.922188       0.260027
        1.15768       0.926758       0.266017
        1.17278       0.931374       0.272006
        1.18788       0.936036       0.277996
        1.20298       0.939866       0.279226
        1.21808       0.940308       0.261092
        1.23318       0.941032       0.242959
        1.24828        0.94204       0.224826
        1.26338       0.943333       0.206692
        1.27848       0.944911       0.188559
        1.29359       0.946778       0.170426
        1.30869       0.945706       0.162826
        1.32379       0.942311       0.163003
        1.33889       0.938915        0.16318
        1.35399        0.93552       0.163357
        1.36909       0.932125       0.163535
        1.38419       0.928729       0.163712
        1.39929       0.925333       0.163889
        1.41439       0.925959       0.159822
        1.42949       0.926797       0.155546
         1.4446        0.92765        0.15127
         1.4597       0.928519       0.146994
         1.4748       0.929404       0.142718
         1.4899       0.930304       0.138442
          1.505       0.930915       0.135581
         1.5201       0.930915       0.135581
         1.5352       0.930915       0.135581
         1.5503       0.930915       0.135581
         1.5654       0.930915       0.135581
        1.58051       0.930915       0.135581
        1.59561       0.930915       0.135581
        1.61071       0.930915       0.135581
        1.62581       0.930915       0.135581
        1.64091       0.930915       0.135581
        1.65601       0.930915       0.135581
        1.67111       0.930915       0.135581
        1.68621       0.930915       0.135581
        1.70131       0.930915       0.135581
        1.71641       0.930915       0.135581
        1.73152       0.930915       0.135581
        1.74662       0.930915       0.135581
        1.76172       0.930915       0.135581
        1.77682       0.930915       0.135581
        1.79192       0.930915       0.135581
        1.80702       0.930915       0.135581
        1.82212       0.930915       0.135581
        1.83722       0.930915       0.135581
        1.85232       0.930915       0.135581
        1.86742       0.930915       0.135581
        1.88253       0.930915       0.135581
        1.89763       0.930915       0.135581
        1.91273       0.930915       0.135581
        1.92783       0.930915       0.135581
        1.94293       0.930915       0.135581
        1.95803       0.930915       0.135581
        1.97313       0.930915       0.135581
        1.98823       0.930915       0.135581
        2.00333       0.930915       0.135581
        2.01843       0.930915       0.135581
        2.03354       0.930915       0.135581
        2.04864       0.930915       0.135581
        2.06374       0.930915       0.135581
        2.07884       0.930915       0.135581
        2.09394       0.930915       0.135581
        2.10904       0.930915       0.135581
        2.12414       0.930915       0.135581
        2.13924       0.930915       0.135581
        2.15434       0.930915       0.135581
        2.16944       0.930915       0.135581
        2.18455       0.930915       0.135581
        2.19965       0.930915       0.135581
        2.21475       0.930915       0.135581
        2.22985       0.930915       0.135581
        2.24495       0.930915       0.135581
        2.26005       0.930915       0.135581
        2.27515       0.930915       0.135581
        2.29025       0.930915       0.135581
        2.30535       0.930915       0.135581
        2.32045       0.930915       0.135581
        2.33556       0.930915       0.135581
        2.35066       0.930915       0.135581
        2.36576       0.930915       0.135581
        2.38086       0.930915       0.135581
        2.39596       0.930915       0.135581
        2.41106       0.930915       0.135581
        2.42616       0.930915       0.135581
        2.44126       0.930915       0.135581
        2.45636       0.930915       0.135581
        2.47146       0.930915       0.135581
        2.48657       0.930915       0.135581
        2.50167       0.930915       0.135581
        2.51677       0.930915       0.135581
        2.53187       0.930915       0.135581
        2.54697       0.930915       0.135581
        2.56207       0.930915       0.135581
        2.57717       0.930915       0.135581
        2.59227       0.930915       0.135581
        2.60737       0.930915       0.135581
        2.62247       0.930915       0.135581
        2.63758       0.930915       0.135581
        2.65268       0.930915       0.135581
        2.66778       0.930915       0.135581
        2.68288       0.930915       0.135581
        2.69798       0.930915       0.135581
        2.71308       0.930915       0.135581
        2.72818       0.930915       0.135581
        2.74328       0.930915       0.135581
        2.75838       0.930915       0.135581
        2.77348       0.930915       0.135581
        2.78859       0.930915       0.135581
        2.80369       0.930915       0.135581
        2.81879       0.930915       0.135581
        2.83389       0.930915       0.135581
        2.84899       0.930915       0.135581
        2.86409       0.930915       0.135581
        2.87919       0.930915       0.135581
        2.89429       0.930915       0.135581
        2.90939       0.930915       0.135581
