           IM.1         lambda
           0.01       0.376775
      0.0102923       0.363136
      0.0105931        0.34999
      0.0109027        0.33732
      0.0112213       0.325109
      0.0115492        0.31334
      0.0118868       0.301997
      0.0122342       0.291064
      0.0125917       0.280528
      0.0129597       0.270373
      0.0133385       0.260585
      0.0137283       0.251152
      0.0141296        0.24206
      0.0145425       0.233297
      0.0149675       0.224852
       0.015405       0.216712
      0.0158552       0.208867
      0.0163186       0.201306
      0.0167955       0.194018
      0.0172864       0.186995
      0.0177916       0.180226
      0.0183115       0.173701
      0.0188467       0.167413
      0.0193975       0.161353
      0.0199644       0.155512
      0.0205479       0.148907
      0.0211485       0.142522
      0.0217665        0.13641
      0.0224027       0.130561
      0.0230574       0.124962
      0.0237313       0.119604
      0.0244249       0.114475
      0.0251387       0.109566
      0.0258734       0.104868
      0.0266296       0.100371
      0.0274079      0.0960671
      0.0282089      0.0919477
      0.0290333      0.0880048
      0.0298818      0.0842311
      0.0307551      0.0806192
       0.031654      0.0771621
      0.0325791      0.0738533
      0.0335313      0.0706864
      0.0345112      0.0676553
      0.0355199      0.0647542
       0.036558      0.0619774
      0.0376264      0.0593198
      0.0387261      0.0567761
      0.0398579      0.0543415
      0.0410228      0.0518662
      0.0422217      0.0494841
      0.0434557      0.0472114
      0.0447257      0.0450432
      0.0460328      0.0429745
      0.0473782      0.0410008
      0.0487629      0.0391177
       0.050188      0.0373212
      0.0516548      0.0356071
      0.0531645      0.0339718
      0.0547182      0.0324116
      0.0563174       0.030923
      0.0579634      0.0295028
      0.0596574      0.0281478
      0.0614009      0.0268307
      0.0631954      0.0255695
      0.0650424      0.0243675
      0.0669433      0.0232221
      0.0688998      0.0221305
      0.0709134      0.0210902
      0.0729859      0.0200988
       0.075119       0.019154
      0.0773144      0.0182536
       0.079574      0.0173955
      0.0818997      0.0165754
      0.0842932      0.0157933
      0.0867568      0.0150482
      0.0892923      0.0143382
       0.091902      0.0136617
      0.0945879      0.0130171
      0.0973523       0.012403
       0.100198      0.0118173
       0.103126      0.0112534
        0.10614      0.0107164
       0.109242       0.010205
       0.112435     0.00971801
       0.115721     0.00925426
       0.119103     0.00881264
       0.122584     0.00839209
       0.126166     0.00799161
       0.129853     0.00761025
       0.133649     0.00724708
       0.137555     0.00690124
       0.141575     0.00657191
       0.145712     0.00625829
       0.149971     0.00595964
       0.154354     0.00567524
       0.158865     0.00540442
       0.163508     0.00514651
       0.168287     0.00490092
       0.173205     0.00466704
       0.178267     0.00444433
       0.183477     0.00423224
       0.188839     0.00403027
       0.194358     0.00383795
       0.200039     0.00365459
       0.205885     0.00345045
       0.211902     0.00325772
       0.218095     0.00307575
       0.224469     0.00290395
        0.23103     0.00274174
       0.237782     0.00258859
       0.244731       0.002444
       0.251884     0.00230749
       0.259245      0.0021786
       0.266822      0.0020569
        0.27462     0.00194201
       0.282646     0.00183354
       0.290907     0.00173112
       0.299409     0.00163442
       0.308159     0.00152254
       0.317165     0.00141691
       0.326435     0.00131861
       0.335975     0.00122713
       0.345794       0.001142
         0.3559     0.00106277
       0.366302    0.000989044
       0.377007    0.000920429
       0.388026    0.000856574
       0.399366    0.000797149
       0.411038      0.0007314
       0.423051     0.00067052
       0.435415    0.000614707
        0.44814     0.00056354
       0.461238    0.000516633
       0.474718    0.000473629
       0.488592    0.000434205
       0.502872    0.000396966
       0.517568    0.000358906
       0.532695    0.000324495
       0.548263    0.000293383
       0.564287    0.000265254
       0.580779    0.000239822
       0.597752    0.000216829
       0.615222    0.000193454
       0.633203    0.000172256
       0.651709    0.000153381
       0.670755    0.000136574
       0.690359    0.000121609
       0.710535    0.000107702
       0.731301    9.49112e-05
       0.752674    8.36392e-05
       0.774672    7.37059e-05
       0.797312    6.49523e-05
       0.820614    5.68559e-05
       0.844598    4.97246e-05
       0.869282    4.34878e-05
       0.894687    3.80333e-05
       0.920835    3.27167e-05
       0.947748     2.8023e-05
       0.975446    2.40027e-05
        1.00395    2.05871e-05
         1.0333    1.78092e-05
         1.0635    1.54061e-05
        1.09458    1.33273e-05
        1.12657      1.097e-05
        1.15949    8.93717e-06
        1.19338    7.28103e-06
        1.22826     5.9488e-06
        1.26415    4.86363e-06
         1.3011    3.98689e-06
        1.33913    3.56508e-06
        1.37826    3.18789e-06
        1.41854    2.72151e-06
           1.46    2.19877e-06
        1.50267    1.77106e-06
        1.54659    1.36236e-06
        1.59179    1.04797e-06
        1.63831    8.70044e-07
        1.68619    7.34406e-07
        1.73547    5.71858e-07
        1.78619    4.31321e-07
         1.8384    3.05171e-07
        1.89213    2.10938e-07
        1.94742    1.43332e-07
        2.00434          1e-07
        2.06292          1e-07
        2.12321          1e-07
        2.18526          1e-07
        2.24913          1e-07
        2.31486          1e-07
        2.38251          1e-07
        2.45215          1e-07
        2.52381          1e-07
        2.59757          1e-07
        2.67349          1e-07
        2.75162          1e-07
        2.83204          1e-07
        2.91481          1e-07
            3.0          1e-07
