           IM.1         lambda
           0.01       0.376775
       0.025101       0.109817
       0.040202      0.0536054
       0.055303      0.0318541
       0.070404      0.0213458
      0.0855051      0.0154196
       0.100606       0.011736
       0.115707     0.00925609
       0.130808     0.00751621
       0.145909     0.00624398
        0.16101     0.00528277
       0.176111     0.00453708
       0.191212     0.00394576
       0.206313     0.00343618
       0.221414     0.00298445
       0.236515     0.00261633
       0.251616     0.00231238
       0.266717     0.00205851
       0.281818      0.0018443
       0.296919     0.00166188
        0.31202     0.00147595
       0.327121     0.00131172
       0.342222     0.00117198
       0.357323     0.00105224
       0.372424    0.000948961
       0.387525    0.000859338
       0.402626    0.000778478
       0.417727    0.000696633
       0.432828    0.000625858
       0.447929    0.000564342
        0.46303    0.000510622
       0.478131    0.000463502
       0.493232    0.000421998
       0.508333    0.000382242
       0.523434    0.000345029
       0.538535    0.000312348
       0.553636    0.000283541
       0.568737    0.000258062
       0.583838    0.000235453
       0.598939    0.000215329
        0.61404    0.000194958
       0.629141     0.00017678
       0.644242    0.000160669
       0.659343     0.00014635
       0.674444    0.000133589
       0.689545    0.000122187
       0.704646    0.000111709
       0.719747    0.000101782
       0.734848    9.29168e-05
       0.749949    8.49811e-05
       0.765051    7.78616e-05
       0.780152    7.14606e-05
       0.795253    6.56939e-05
       0.810354    6.02836e-05
       0.825455    5.53214e-05
       0.840556    5.08469e-05
       0.855657    4.68045e-05
       0.870758     4.3146e-05
       0.885859    3.98291e-05
        0.90096    3.67886e-05
       0.916061    3.36439e-05
       0.931162     3.0813e-05
       0.946263    2.82602e-05
       0.961364    2.59544e-05
       0.976465    2.38684e-05
       0.991566    2.19783e-05
        1.00667    2.03095e-05
        1.02177    1.88435e-05
        1.03687    1.75026e-05
        1.05197    1.62744e-05
        1.06707    1.51481e-05
        1.08217     1.4114e-05
        1.09727    1.31634e-05
        1.11237    1.20055e-05
        1.12747    1.09073e-05
        1.14258    9.92223e-06
        1.15768    9.03734e-06
        1.17278    8.24133e-06
        1.18788    7.52431e-06
        1.20298    6.87967e-06
        1.21808    6.30506e-06
        1.23318    5.78466e-06
        1.24828    5.31278e-06
        1.26338    4.88439e-06
        1.27848    4.49503e-06
        1.29359    4.14074e-06
        1.30869    3.89791e-06
        1.32379    3.72812e-06
        1.33889    3.56752e-06
        1.35399    3.41553e-06
        1.36909    3.27159e-06
        1.38419     3.1352e-06
        1.39929    3.00589e-06
        1.41439    2.78119e-06
        1.42949    2.57087e-06
         1.4446    2.37843e-06
         1.4597    2.20217e-06
         1.4748    2.04059e-06
         1.4899    1.89234e-06
          1.505    1.74626e-06
         1.5201    1.59448e-06
         1.5352    1.45721e-06
         1.5503    1.33292e-06
         1.5654    1.22029e-06
        1.58051    1.11812e-06
        1.59561    1.02536e-06
        1.61071     9.6152e-07
        1.62581    9.10154e-07
        1.64091     8.6197e-07
        1.65601    8.16743e-07
        1.67111    7.74268e-07
        1.68621    7.34354e-07
        1.70131    6.94728e-07
        1.71641    6.37148e-07
        1.73152    5.84783e-07
        1.74662    5.37121e-07
        1.76172    4.93706e-07
        1.77682    4.54126e-07
        1.79192    4.18015e-07
        1.80702    3.80529e-07
        1.82212    3.42021e-07
        1.83722     3.0768e-07
        1.85232    2.77028e-07
        1.86742    2.49641e-07
        1.88253    2.25151e-07
        1.89763    2.03231e-07
        1.91273    1.82746e-07
        1.92783    1.64322e-07
        1.94293    1.47878e-07
        1.95803    1.33188e-07
        1.97313    1.20054e-07
        1.98823    1.08301e-07
        2.00333          1e-07
        2.01843          1e-07
        2.03354          1e-07
        2.04864          1e-07
        2.06374          1e-07
        2.07884          1e-07
        2.09394          1e-07
        2.10904          1e-07
        2.12414          1e-07
        2.13924          1e-07
        2.15434          1e-07
        2.16944          1e-07
        2.18455          1e-07
        2.19965          1e-07
        2.21475          1e-07
        2.22985          1e-07
        2.24495          1e-07
        2.26005          1e-07
        2.27515          1e-07
        2.29025          1e-07
        2.30535          1e-07
        2.32045          1e-07
        2.33556          1e-07
        2.35066          1e-07
        2.36576          1e-07
        2.38086          1e-07
        2.39596          1e-07
        2.41106          1e-07
        2.42616          1e-07
        2.44126          1e-07
        2.45636          1e-07
        2.47146          1e-07
        2.48657          1e-07
        2.50167          1e-07
        2.51677          1e-07
        2.53187          1e-07
        2.54697          1e-07
        2.56207          1e-07
        2.57717          1e-07
        2.59227          1e-07
        2.60737          1e-07
        2.62247          1e-07
        2.63758          1e-07
        2.65268          1e-07
        2.66778          1e-07
        2.68288          1e-07
        2.69798          1e-07
        2.71308          1e-07
        2.72818          1e-07
        2.74328          1e-07
        2.75838          1e-07
        2.77348          1e-07
        2.78859          1e-07
        2.80369          1e-07
        2.81879          1e-07
        2.83389          1e-07
        2.84899          1e-07
        2.86409          1e-07
        2.87919          1e-07
        2.89429          1e-07
        2.90939          1e-07
        2.92449          1e-07
         2.9396          1e-07
         2.9547          1e-07
         2.9698          1e-07
         2.9849          1e-07
            3.0          1e-07
