           IM.1            pdf
            0.0            0.0
     0.00753769            0.0
      0.0150754     0.00040841
      0.0226131      0.0027656
      0.0301508     0.00731179
      0.0376884      0.0138822
      0.0452261       0.023433
      0.0527638      0.0334746
      0.0603015      0.0468609
      0.0678392      0.0627029
      0.0753769       0.083851
      0.0829146       0.113213
      0.0904523       0.152371
      0.0979899        0.20231
       0.105528       0.239296
       0.113065       0.266069
       0.120603       0.292228
       0.128141       0.317477
       0.135678       0.340756
       0.143216         0.3619
       0.150754       0.379896
       0.158291       0.397083
       0.165829       0.411352
       0.173367         0.4235
       0.180905       0.433799
       0.188442       0.442556
        0.19598       0.449888
       0.203518       0.566695
       0.211055       0.633044
       0.218593       0.690522
       0.226131       0.737825
       0.233668       0.774899
       0.241206       0.801761
       0.248744       0.819624
       0.256281       0.830122
       0.263819       0.834571
       0.271357       0.834614
       0.278894        0.83003
       0.286432       0.823035
        0.29397       0.815748
       0.301508            1.0
       0.309045       0.962817
       0.316583       0.927498
       0.324121       0.893633
       0.331658       0.861591
       0.339196       0.831109
       0.346734       0.802191
       0.354271       0.774638
       0.361809       0.748451
       0.369347       0.723507
       0.376884       0.699747
       0.384422       0.677121
        0.39196       0.655945
       0.399497       0.635057
       0.407035       0.737464
       0.414573        0.70895
       0.422111       0.681362
       0.429648       0.655466
       0.437186       0.630769
       0.444724       0.607168
       0.452261       0.584847
       0.459799       0.563481
       0.467337       0.543087
       0.474874       0.523594
       0.482412       0.504959
        0.48995       0.487131
       0.497487       0.470076
       0.505025       0.521112
       0.512563       0.495907
       0.520101       0.472408
       0.527638       0.450394
       0.535176       0.429746
       0.542714       0.410377
       0.550251       0.392115
       0.557789       0.374943
       0.565327       0.358758
       0.572864       0.343473
       0.580402       0.329049
        0.58794       0.315402
       0.595477       0.302485
       0.603015       0.333704
       0.610553       0.319131
        0.61809       0.305276
       0.625628       0.292144
       0.633166        0.27965
       0.640704       0.267887
       0.648241       0.256561
       0.655779       0.245848
       0.663317       0.235656
       0.670854       0.225954
       0.678392       0.216716
        0.68593       0.207916
       0.693467       0.199444
       0.701005       0.208506
       0.708543       0.199181
        0.71608       0.190346
       0.723618       0.181967
       0.731156       0.174018
       0.738693       0.166474
       0.746231       0.159378
       0.753769       0.152503
       0.761307       0.146068
       0.768844       0.139887
       0.776382       0.134036
        0.78392       0.128442
       0.791457       0.123172
       0.798995       0.118126
       0.806533       0.119969
        0.81407       0.114945
       0.821608       0.110157
       0.829146       0.105591
       0.836683       0.101238
       0.844221      0.0970905
       0.851759      0.0931249
       0.859296      0.0893447
       0.866834       0.085738
       0.874372      0.0822962
        0.88191      0.0790065
       0.889447      0.0758685
       0.896985      0.0728661
       0.904523      0.0805628
        0.91206      0.0769025
       0.919598      0.0734284
       0.927136      0.0701352
       0.934673       0.067007
       0.942211      0.0640176
       0.949749      0.0612146
       0.957286      0.0585336
       0.964824      0.0559842
       0.972362      0.0535631
       0.979899      0.0512556
       0.987437      0.0490626
       0.994975      0.0469757
        1.00251      0.0421445
        1.01005      0.0404603
        1.01759      0.0388563
        1.02513      0.0373248
        1.03266      0.0358621
         1.0402      0.0344649
        1.04774      0.0331297
        1.05528      0.0318534
        1.06281       0.030633
        1.07035      0.0294655
        1.07789      0.0283516
        1.08543      0.0272792
        1.09296      0.0262559
         1.1005       0.035706
        1.10804      0.0339175
        1.11558      0.0322275
        1.12312      0.0306304
        1.13065        0.02912
        1.13819      0.0276917
        1.14573      0.0263409
        1.15327      0.0250627
         1.1608      0.0238528
        1.16834      0.0227075
        1.17588      0.0216228
        1.18342      0.0205953
        1.19095      0.0195984
        1.19849      0.0186992
        1.20603      0.0175355
        1.21357      0.0167348
        1.22111      0.0159774
        1.22864      0.0152572
        1.23618      0.0145729
        1.24372      0.0139223
        1.25126      0.0133036
        1.25879      0.0127151
        1.26633      0.0121551
        1.27387      0.0116227
        1.28141      0.0111157
        1.28894      0.0106331
        1.29648      0.0101735
        1.30402     0.00545839
        1.31156     0.00531995
         1.3191     0.00518545
        1.32663      0.0050546
        1.33417      0.0049276
        1.34171     0.00480423
        1.34925     0.00468434
        1.35678     0.00456794
        1.36432     0.00445463
        1.37186     0.00434462
         1.3794      0.0042377
        1.38693     0.00413378
        1.39447     0.00403279
        1.40201     0.00746614
        1.40955      0.0071468
        1.41709     0.00684263
        1.42462     0.00655269
        1.43216     0.00627638
         1.4397     0.00601295
        1.44724     0.00576175
        1.45477     0.00552214
        1.46231     0.00529359
        1.46985     0.00507548
        1.47739     0.00486739
        1.48492     0.00466863
        1.49246     0.00447893
            1.5     0.00479219
