           IM.1            pdf
            0.0            0.0
     0.00753769            0.0
      0.0150754        16.7959
      0.0226131        112.715
      0.0301508        293.316
      0.0376884        546.908
      0.0452261        903.723
      0.0527638        1257.54
      0.0603015        1705.27
      0.0678392        2199.96
      0.0753769        2829.28
      0.0829146        3675.06
      0.0904523        4777.04
      0.0979899         6165.4
       0.105528        7145.18
       0.113065         7825.4
       0.120603        8496.12
       0.128141        9147.65
       0.135678        9750.33
       0.143216        10298.5
       0.150754        10764.0
       0.158291        11210.1
       0.165829        11578.9
       0.173367        11891.8
       0.180905        12155.9
       0.188442        12379.4
        0.19598        12565.3
       0.203518        15787.9
       0.211055        17583.7
       0.218593        19138.5
       0.226131        20416.7
       0.233668        21416.8
       0.241206        22139.2
       0.248744        22613.0
       0.256281        22894.5
       0.263819        23007.6
       0.271357        23001.1
       0.278894        22868.9
       0.286432        22671.2
        0.29397        22465.9
       0.301508        27536.3
       0.309045        26506.5
       0.316583        25528.9
       0.324121        24592.0
       0.331658        23705.7
       0.339196        22862.1
       0.346734        22063.7
       0.354271        21302.5
       0.361809        20579.1
       0.369347        19890.2
       0.376884        19234.2
       0.384422        18610.2
        0.39196        18025.0
       0.399497        17448.8
       0.407035        20258.6
       0.414573        19471.4
       0.422111        18710.3
       0.429648        17996.0
       0.437186        17314.9
       0.444724        16664.3
       0.452261        16049.1
       0.459799        15460.4
       0.467337        14898.6
       0.474874        14361.8
       0.482412        13848.8
        0.48995        13358.1
       0.497487        12888.7
       0.505025        14285.6
       0.512563        13592.2
       0.520101        12945.7
       0.527638        12340.3
       0.535176        11772.5
       0.542714        11240.1
       0.550251        10738.1
       0.557789        10266.2
       0.565327        9821.52
       0.572864        9401.67
       0.580402        9005.51
        0.58794        8630.78
       0.595477        8276.17
       0.603015        9129.32
       0.610553        8729.94
        0.61809         8350.3
       0.625628         7990.5
       0.633166        7648.22
       0.640704        7325.97
       0.648241        7015.74
       0.655779        6722.34
       0.663317         6443.2
       0.670854        6177.54
       0.678392        5924.59
        0.68593        5683.66
       0.693467        5451.71
       0.701005        5699.04
       0.708543        5443.53
        0.71608        5201.49
       0.723618         4972.0
       0.731156         4754.3
       0.738693        4547.73
       0.746231        4353.46
       0.753769        4165.27
       0.761307        3989.16
       0.768844        3820.01
       0.776382        3659.93
        0.78392        3506.89
       0.791457        3362.72
       0.798995         3224.7
       0.806533        3274.84
        0.81407        3137.53
       0.821608        3006.68
       0.829146        2881.92
       0.836683        2762.98
       0.844221        2649.67
       0.851759        2541.32
       0.859296        2438.06
       0.866834        2339.54
       0.874372        2245.52
        0.88191        2155.67
       0.889447        2069.97
       0.896985        1987.98
       0.904523        2197.86
        0.91206         2097.9
       0.919598        2003.03
       0.927136         1913.1
       0.934673        1827.69
       0.942211        1746.07
       0.949749        1669.55
       0.957286        1596.36
       0.964824        1526.77
       0.972362        1460.68
       0.979899         1397.7
       0.987437        1337.85
       0.994975         1280.9
        1.00251        1149.12
        1.01005        1103.16
        1.01759        1059.38
        1.02513        1017.59
        1.03266        977.673
         1.0402         939.55
        1.04774        903.119
        1.05528        868.298
        1.06281        835.003
        1.07035        803.156
        1.07789        772.769
        1.08543        743.516
        1.09296        715.605
         1.1005        973.141
        1.10804        924.385
        1.11558        878.316
        1.12312        834.779
        1.13065        793.607
        1.13819        754.673
        1.14573        717.852
        1.15327        683.009
         1.1608        650.031
        1.16834        618.811
        1.17588        589.247
        1.18342        561.239
        1.19095        534.069
        1.19849         509.56
        1.20603         477.84
        1.21357        456.014
        1.22111        435.366
        1.22864        415.735
        1.23618        397.083
        1.24372        379.348
        1.25126        362.486
        1.25879        346.446
        1.26633        331.181
        1.27387        316.672
        1.28141        302.853
        1.28894        289.701
        1.29648        277.176
        1.30402        148.711
        1.31156        144.938
         1.3191        141.271
        1.32663        137.705
        1.33417        134.244
        1.34171        130.881
        1.34925        127.613
        1.35678        124.441
        1.36432        121.353
        1.37186        118.355
         1.3794        115.441
        1.38693        112.609
        1.39447        109.856
        1.40201        203.381
        1.40955        194.681
        1.41709        186.393
        1.42462        178.493
        1.43216        170.965
         1.4397        163.787
        1.44724        156.943
        1.45477        150.415
        1.46231        144.188
        1.46985        138.247
        1.47739        132.577
        1.48492        127.162
        1.49246        121.994
            1.5        130.526
