           IM.1         mean_x        sd_ln_x
           0.01      0.0413803        3.55577
       0.025101        24.4659        2.41643
       0.040202        317.285        1.90125
       0.055303        1476.29        1.65799
       0.070404        4727.97        1.55992
      0.0855051        13291.1        1.45102
       0.100606        33897.6        1.28986
       0.115707        59365.1         1.1944
       0.130808        96041.5        1.13193
       0.145909    1.44274e+05        1.09839
        0.16101    2.03812e+05        1.08454
       0.176111    2.74269e+05        1.08217
       0.191212    3.55469e+05        1.08521
       0.206313    4.95906e+05        1.02606
       0.221414    7.30685e+05       0.917137
       0.236515    9.84084e+05       0.849106
       0.251616    1.24045e+06       0.809118
       0.266717    1.49444e+06       0.786026
       0.281818    1.74695e+06        0.77211
       0.296919    1.99738e+06       0.763765
        0.31202    2.21224e+06       0.767789
       0.327121    2.42132e+06       0.773414
       0.342222    2.63668e+06       0.776994
       0.357323    2.85793e+06       0.778685
       0.372424    3.08484e+06       0.778603
       0.387525    3.31738e+06       0.776833
       0.402626    3.55714e+06       0.773134
       0.417727    3.80502e+06       0.767504
       0.432828    4.05852e+06       0.760496
       0.447929    4.31513e+06        0.75265
        0.46303    4.57377e+06       0.744165
       0.478131    4.83448e+06       0.735031
       0.493232    5.09499e+06       0.725618
       0.508333    5.31149e+06       0.722591
       0.523434     5.4971e+06       0.723501
       0.538535    5.68251e+06       0.723602
       0.553636    5.87236e+06       0.722257
       0.568737    6.06494e+06       0.719794
       0.583838    6.24833e+06       0.717966
       0.598939    6.45499e+06       0.712177
        0.61404    6.68536e+06       0.702569
       0.629141    6.91593e+06       0.692515
       0.644242    7.14348e+06       0.682456
       0.659343    7.36778e+06       0.672415
       0.674444    7.58839e+06       0.662439
       0.689545    7.80517e+06       0.652539
       0.704646    8.01113e+06       0.643585
       0.719747    8.19846e+06        0.63652
       0.734848    8.38243e+06       0.629412
       0.749949    8.56286e+06       0.622291
       0.765051    8.73952e+06       0.615184
       0.780152     8.9123e+06       0.608117
       0.795253    9.08116e+06         0.6011
       0.810354     9.2587e+06       0.592618
       0.825455    9.43661e+06       0.583697
       0.840556     9.6082e+06       0.575144
       0.855657    9.77405e+06       0.566894
       0.870758    9.93408e+06       0.558958
       0.885859    1.00888e+07       0.551276
        0.90096    1.02365e+07       0.544064
       0.916061     1.0368e+07       0.538394
       0.931162    1.04952e+07       0.532882
       0.946263    1.06169e+07       0.527663
       0.961364     1.0737e+07       0.522307
       0.976465     1.0852e+07       0.517231
       0.991566    1.09678e+07       0.511736
        1.00667    1.10719e+07       0.507315
        1.02177    1.11644e+07       0.503984
        1.03687    1.12584e+07        0.50019
        1.05197    1.13483e+07       0.496606
        1.06707    1.14355e+07       0.493064
        1.08217    1.15194e+07       0.489672
        1.09727    1.15997e+07        0.48645
        1.11237    1.16719e+07       0.483984
        1.12747    1.17787e+07       0.477025
        1.14258    1.18643e+07       0.472423
        1.15768    1.19465e+07       0.467991
